,2021-01-03,2019-12-29,2018-12-30,2017-12-31
Investments,-20059000.0,-6387000.0,-7019000.0,-10783000.0
Change To Liabilities,62753000.0,7351000.0,8900000.0,34331000.0
Total Cashflows From Investing Activities,-504498000.0,-487573000.0,-159859000.0,-1266590000.0
Net Borrowings,-187470000.0,208871000.0,-66043000.0,822156000.0
Total Cash From Financing Activities,-202872000.0,150130000.0,-179230000.0,782236000.0
Change To Operating Activities,314534000.0,-61773000.0,-14933000.0,-17436000.0
Issuance Of Stock,37671000.0,19732000.0,24833000.0,18004000.0
Net Income,727887000.0,227558000.0,237927000.0,292633000.0
Change In Cash,210720000.0,25579000.0,-36055000.0,-174198000.0
Repurchase Of Stock,-6944000.0,-6313000.0,-57445000.0,-3834000.0
Effect Of Exchange Rate,25913000.0,-447000.0,-8004000.0,21703000.0
Total Cash From Operating Activities,892177000.0,363469000.0,311038000.0,288453000.0
Depreciation,246507000.0,214025000.0,180588000.0,105000000.0
Other Cashflows From Investing Activities,282000.0,282000.0,72000.0,309365000.0
Dividends Paid,-31212000.0,-31059000.0,-31009000.0,-30793000.0
Change To Inventory,-122513000.0,-9607000.0,-30183000.0,-17923000.0
Change To Account Receivables,-373895000.0,-100630000.0,-94512000.0,-36633000.0
Other Cashflows From Financing Activities,-14917000.0,-41101000.0,-49566000.0,-23297000.0
Change To Netincome,33513000.0,82699000.0,19910000.0,-74111000.0
Capital Expenditures,-77506000.0,-76331000.0,-93253000.0,-39089000.0
