,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Capital Surplus,872800000.0,858400000.0,985900000.0,44500000.0
Total Liab,10034600000.0,9930900000.0,9514500000.0,8994300000.0
Total Stockholder Equity,9581400000.0,9185500000.0,10397300000.0,9617500000.0
Minority Interest,173800000.0,182100000.0,207400000.0,21600000.0
Other Current Liab,581300000.0,509100000.0,413400000.0,252000000.0
Total Assets,19789800000.0,19298500000.0,20119200000.0,18633400000.0
Common Stock,3800000.0,3800000.0,3800000.0,3500000.0
Other Current Assets,65100000.0,28600000.0,44600000.0,62900000.0
Retained Earnings,10511000000.0,9921500000.0,11064700000.0,10631100000.0
Other Liab,2704700000.0,2686700000.0,2539300000.0,2085100000.0
Good Will,1173000000.0,1156900000.0,1707500000.0,1693600000.0
Treasury Stock,-1806200000.0,-1598200000.0,-1657100000.0,-1061600000.0
Other Assets,2395100000.0,1777700000.0,1601600000.0,1522100000.0
Cash,574000000.0,519100000.0,847700000.0,2153500000.0
Total Current Liabilities,3146500000.0,2591700000.0,2483700000.0,2031100000.0
Deferred Long Term Asset Charges,1179400000.0,515400000.0,343800000.0,254600000.0
Short Long Term Debt,454300000.0,5500000.0,26000000.0,343500000.0
Other Stockholder Equity,-1806200000.0,-1598200000.0,-1657100000.0,-1061600000.0
Property Plant Equipment,12027400000.0,11882100000.0,11746500000.0,9711700000.0
Total Current Assets,3521200000.0,3718200000.0,4237000000.0,4616500000.0
Long Term Investments,673100000.0,763600000.0,826600000.0,1089500000.0
Net Tangible Assets,8408400000.0,8028600000.0,8689800000.0,7923900000.0
Net Receivables,1062500000.0,983400000.0,987700000.0,783900000.0
Long Term Debt,3779200000.0,4222100000.0,4189300000.0,4551500000.0
Inventory,1739200000.0,2076400000.0,2270200000.0,1547200000.0
Accounts Payable,1409100000.0,1421000000.0,1353700000.0,927100000.0
