Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Total Liab,2752775000000.0,2695992000000.0,2546703000000.0,2469602000000.0
Total Stockholder Equity,253678000000.0,249681000000.0,248414000000.0,245423000000.0
Other Current Liab,110084000000.0,102788000000.0,71320000000.0,84681000000.0
Total Assets,3029894000000.0,2969992000000.0,2819627000000.0,2738452000000.0
Common Stock,79242000000.0,83071000000.0,85982000000.0,85954000000.0
Other Current Assets,130845000000.0,118840000000.0,107753000000.0,121632000000.0
Retained Earnings,177499000000.0,170082000000.0,164088000000.0,160447000000.0
Other Liab,9352000000.0,8545000000.0,11117000000.0,3449000000.0
Good Will,69023000000.0,68951000000.0,68951000000.0,68951000000.0
Treasury Stock,-3063000000.0,-3472000000.0,-1656000000.0,-978000000.0
Other Assets,1051676000000.0,1030791000000.0,1031889000000.0,1063643000000.0
Cash,254030000000.0,319601000000.0,373463000000.0,294506000000.0
Total Current Liabilities,2466793000000.0,2441527000000.0,2284457000000.0,2205592000000.0
Short Long Term Debt,8627000000.0,15566000000.0,20352000000.0,5462000000.0
Other Stockholder Equity,-3063000000.0,-3472000000.0,-1656000000.0,-978000000.0
Property Plant Equipment,10747000000.0,10803000000.0,11000000000.0,10902000000.0
Total Current Assets,944048000000.0,988722000000.0,1009128000000.0,998504000000.0
Long Term Investments,954400000000.0,870725000000.0,698659000000.0,596452000000.0
Net Tangible Assets,184655000000.0,180730000000.0,179463000000.0,176472000000.0
Short Term Investments,274450000000.0,265406000000.0,309004000000.0,331448000000.0
Net Receivables,65667000000.0,66404000000.0,64221000000.0,61684000000.0
Long Term Debt,265977000000.0,235645000000.0,242582000000.0,250261000000.0
Inventory,93000000.0,137000000.0,164000000.0,135000000.0
Accounts Payable,1909142000000.0,1884938000000.0,1795480000000.0,1702880000000.0
Deferred Long Term Asset Charges,,,7447000000.0,
Investments,-82021000000.0,-181019000000.0,-102367000000.0,-111758000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-108606000000.0,-113080000000.0,-53882000000.0,54977000000.0
Net Borrowings,34051000000.0,30664000000.0,-13656000000.0,5515000000.0
Total Cash From Financing Activities,51320000000.0,113627000000.0,77938000000.0,-12398000000.0
Change To Operating Activities,-17105000000.0,-65047000000.0,49750000000.0,-42455000000.0
Net Income,9224000000.0,8050000000.0,5470000000.0,4881000000.0
Change In Cash,-66071000000.0,-54362000000.0,79457000000.0,11660000000.0
Repurchase Of Stock,-4209000000.0,-3470000000.0,-263000000.0,-114000000.0
Effect Of Exchange Rate,526000000.0,-2581000000.0,807000000.0,1719000000.0
Total Cash From Operating Activities,-9311000000.0,-52328000000.0,54594000000.0,-32638000000.0
Depreciation,469000000.0,461000000.0,487000000.0,476000000.0
Other Cashflows From Investing Activities,-10329000000.0,44144000000.0,21671000000.0,123947000000.0
Dividends Paid,-1831000000.0,-2114000000.0,-1828000000.0,-1983000000.0
Other Cashflows From Financing Activities,24187000000.0,88738000000.0,92602000000.0,-15816000000.0
Change To Netincome,-1899000000.0,4208000000.0,-1113000000.0,4460000000.0
