,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Total Liab,2546703000000.0,2169269000000.0,2089182000000.0,2014088000000.0
Total Stockholder Equity,248414000000.0,241409000000.0,242999000000.0,244823000000.0
Other Current Liab,71320000000.0,83270000000.0,68220000000.0,81187000000.0
Total Assets,2819627000000.0,2434079000000.0,2354507000000.0,2281234000000.0
Common Stock,85982000000.0,91723000000.0,118896000000.0,138089000000.0
Other Current Assets,107753000000.0,124504000000.0,152330000000.0,136504000000.0
Retained Earnings,164088000000.0,156319000000.0,136314000000.0,113816000000.0
Other Liab,11117000000.0,9901000000.0,5051000000.0,5103000000.0
Good Will,68951000000.0,68951000000.0,68951000000.0,68951000000.0
Treasury Stock,-1656000000.0,-6633000000.0,-12211000000.0,-7082000000.0
Other Assets,1031889000000.0,1092341000000.0,1044414000000.0,1050238000000.0
Cash,373463000000.0,137160000000.0,156526000000.0,138634000000.0
Total Current Liabilities,2284457000000.0,1908419000000.0,1854739000000.0,1781583000000.0
Deferred Long Term Asset Charges,7447000000.0,6444000000.0,10741000000.0,12625000000.0
Short Long Term Debt,20352000000.0,,,
Other Stockholder Equity,-1656000000.0,-6633000000.0,-12211000000.0,-7082000000.0
Property Plant Equipment,11000000000.0,10561000000.0,9906000000.0,9247000000.0
Total Current Assets,1009128000000.0,777955000000.0,780583000000.0,701743000000.0
Long Term Investments,698659000000.0,484271000000.0,450653000000.0,451055000000.0
Net Tangible Assets,179463000000.0,172458000000.0,174048000000.0,175872000000.0
Short Term Investments,309004000000.0,280704000000.0,266903000000.0,223900000000.0
Net Receivables,64221000000.0,55937000000.0,65814000000.0,61623000000.0
Long Term Debt,242582000000.0,240856000000.0,229392000000.0,227402000000.0
Inventory,164000000.0,285000000.0,300000000.0,236000000.0
Accounts Payable,1795480000000.0,1434803000000.0,1381476000000.0,1309545000000.0
