,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,-900000.0,11000000.0,41200000.0,12000000.0
Total Cashflows From Investing Activities,-112700000.0,-63200000.0,-51500000.0,-41700000.0
Net Borrowings,-391200000.0,-369200000.0,-302000000.0,-331300000.0
Total Cash From Financing Activities,-519500000.0,-476700000.0,-455800000.0,-424000000.0
Change To Operating Activities,27500000.0,6600000.0,-41900000.0,17200000.0
Issuance Of Stock,12200000.0,20100000.0,10600000.0,18600000.0
Net Income,252800000.0,116000000.0,36200000.0,73600000.0
Change In Cash,-2300000.0,-90700000.0,2400000.0,-9900000.0
Repurchase Of Stock,-25300000.0,-18100000.0,-21100000.0,-14400000.0
Total Cash From Operating Activities,629900000.0,449200000.0,509700000.0,455800000.0
Depreciation,272200000.0,287800000.0,286900000.0,285800000.0
Other Cashflows From Investing Activities,-26400000.0,-15900000.0,-30100000.0,-35400000.0
Dividends Paid,-113100000.0,-106600000.0,-96000000.0,-95300000.0
Change To Inventory,-19200000.0,900000.0,-3900000.0,-3500000.0
Change To Account Receivables,-3000000.0,-103900000.0,9900000.0,-9400000.0
Other Cashflows From Financing Activities,-2100000.0,-2900000.0,-47300000.0,-1600000.0
Change To Netincome,77900000.0,78400000.0,158500000.0,96500000.0
Capital Expenditures,-86300000.0,-55400000.0,-21400000.0,-6300000.0
