,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,137792000.0,10109000.0,-2742000.0,-28037000.0
Change To Liabilities,139332000.0,-820000.0,14524000.0,-1469000.0
Total Cashflows From Investing Activities,68867000.0,-122051000.0,-50296000.0,-53653000.0
Total Cash From Financing Activities,-145112000.0,-118100000.0,-92673000.0,-117068000.0
Change To Operating Activities,7196000.0,2859000.0,-1240000.0,-5320000.0
Issuance Of Stock,4007000.0,1207000.0,2973000.0,1972000.0
Net Income,299377000.0,204902000.0,172852000.0,148089000.0
Change In Cash,333797000.0,26795000.0,79308000.0,-1229000.0
Repurchase Of Stock,-58553000.0,-43076000.0,-33214000.0,-70152000.0
Effect Of Exchange Rate,5553000.0,1011000.0,-1640000.0,1457000.0
Total Cash From Operating Activities,404489000.0,265935000.0,223917000.0,168035000.0
Depreciation,37838000.0,32652000.0,23080000.0,19274000.0
Dividends Paid,-90566000.0,-76231000.0,-62432000.0,-48888000.0
Change To Account Receivables,-200886000.0,-2962000.0,-5117000.0,-2353000.0
Change To Netincome,35162000.0,27190000.0,16930000.0,22964000.0
Capital Expenditures,-15010000.0,-12292000.0,-35888000.0,-12086000.0
Other Cashflows From Investing Activities,,-30000.0,39000.0,-59000.0
