,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,62114000.0,74271000.0,87139000.0,51223000.0
Capital Surplus,854301000.0,785636000.0,744937000.0,704727000.0
Total Liab,341589000.0,327993000.0,368215000.0,344933000.0
Total Stockholder Equity,2592819000.0,2401726000.0,2205548000.0,2022322000.0
Minority Interest,1292000.0,717000.0,687000.0,
Other Current Liab,116457000.0,106654000.0,145694000.0,96987000.0
Total Assets,2935700000.0,2730436000.0,2574450000.0,2367255000.0
Common Stock,6000.0,5000.0,5000.0,5000.0
Other Current Assets,72215000.0,38873000.0,43782000.0,44944000.0
Retained Earnings,2188191000.0,2028734000.0,1848500000.0,1443867000.0
Other Liab,73803000.0,77711000.0,80734000.0,100652000.0
Good Will,41366000.0,82092000.0,100722000.0,55831000.0
Treasury Stock,-449679000.0,-412649000.0,-387894000.0,-126277000.0
Other Assets,64896000.0,52954000.0,33360000.0,45969000.0
Cash,876231000.0,680070000.0,544358000.0,909900000.0
Total Current Liabilities,214578000.0,191904000.0,245774000.0,198903000.0
Deferred Long Term Asset Charges,43197000.0,31395000.0,19165000.0,26976000.0
Short Long Term Debt,3810000.0,3740000.0,3671000.0,3604000.0
Other Stockholder Equity,-146065000.0,-146919000.0,-162896000.0,-77344000.0
Property Plant Equipment,619247000.0,623880000.0,543068000.0,460206000.0
Total Current Assets,2148077000.0,1896634000.0,1805424000.0,1754010000.0
Net Tangible Assets,2489339000.0,2245363000.0,2017687000.0,1915268000.0
Short Term Investments,514835000.0,502546000.0,500432000.0,206257000.0
Net Receivables,273320000.0,248124000.0,265611000.0,237278000.0
Long Term Debt,34760000.0,37968000.0,41707000.0,45378000.0
Inventory,364993000.0,380790000.0,403579000.0,307712000.0
Accounts Payable,25748000.0,27329000.0,36302000.0,35109000.0
Long Term Investments,,605000.0,4737000.0,16000.0
