,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Capital Surplus,7404000000.0,6656000000.0,6168000000.0,5898000000.0
Total Liab,39382000000.0,37209000000.0,33765000000.0,31575000000.0
Total Stockholder Equity,14575000000.0,13239000000.0,12222000000.0,11455000000.0
Deferred Long Term Liab,2737000000.0,2935000000.0,3326000000.0,3005000000.0
Other Current Liab,1576000000.0,1591000000.0,1598000000.0,1400000000.0
Total Assets,53957000000.0,50448000000.0,45987000000.0,43030000000.0
Common Stock,1344000000.0,1311000000.0,1285000000.0,1269000000.0
Other Current Assets,671000000.0,517000000.0,497000000.0,459000000.0
Retained Earnings,5968000000.0,5413000000.0,4893000000.0,4413000000.0
Other Liab,14081000000.0,13608000000.0,13502000000.0,12967000000.0
Treasury Stock,-141000000.0,-141000000.0,-124000000.0,-125000000.0
Other Assets,6316000000.0,6336000000.0,6090000000.0,5909000000.0
Cash,129000000.0,248000000.0,147000000.0,83000000.0
Total Current Liabilities,4239000000.0,4568000000.0,4460000000.0,4088000000.0
Short Long Term Debt,421000000.0,702000000.0,399000000.0,457000000.0
Other Stockholder Equity,-141000000.0,-141000000.0,-124000000.0,-125000000.0
Property Plant Equipment,44129000000.0,40781000000.0,36590000000.0,33927000000.0
Total Current Assets,3275000000.0,3113000000.0,3094000000.0,2973000000.0
Long Term Investments,237000000.0,218000000.0,213000000.0,221000000.0
Net Tangible Assets,14575000000.0,13239000000.0,12222000000.0,11455000000.0
Net Receivables,1630000000.0,1550000000.0,1615000000.0,1561000000.0
Long Term Debt,19645000000.0,17407000000.0,15732000000.0,14520000000.0
Inventory,535000000.0,544000000.0,548000000.0,610000000.0
Accounts Payable,1237000000.0,1294000000.0,1237000000.0,1243000000.0
