,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,725000000.0,504400000.0,508000000.0,504300000.0
Capital Surplus,3451100000.0,3441700000.0,3440800000.0,3433900000.0
Total Liab,5094900000.0,4732600000.0,4687500000.0,4676500000.0
Total Stockholder Equity,6125900000.0,5923900000.0,5890700000.0,5756400000.0
Minority Interest,2300000.0,2800000.0,2600000.0,2500000.0
Other Current Liab,154800000.0,135900000.0,157000000.0,126100000.0
Total Assets,11223100000.0,10659300000.0,10580800000.0,10435400000.0
Common Stock,600000.0,600000.0,600000.0,600000.0
Other Current Assets,103500000.0,100700000.0,176900000.0,124700000.0
Retained Earnings,2827200000.0,2637200000.0,2607700000.0,2460500000.0
Other Liab,1318000000.0,1258200000.0,1130800000.0,1122800000.0
Good Will,2599600000.0,2414000000.0,2414000000.0,2414500000.0
Treasury Stock,-153000000.0,-155600000.0,-158400000.0,-138600000.0
Other Assets,298900000.0,288900000.0,295200000.0,214100000.0
Cash,53100000.0,313900000.0,207300000.0,116600000.0
Total Current Liabilities,758000000.0,448800000.0,499300000.0,506200000.0
Short Long Term Debt,240100000.0,,,
Other Stockholder Equity,-153000000.0,-155600000.0,-158400000.0,-138600000.0
Property Plant Equipment,5983300000.0,5776300000.0,5695300000.0,5649700000.0
Total Current Assets,1616300000.0,1675700000.0,1668300000.0,1652800000.0
Net Tangible Assets,2801300000.0,3005500000.0,2968700000.0,2837600000.0
Net Receivables,730600000.0,571100000.0,575100000.0,697000000.0
Long Term Debt,2627200000.0,2626500000.0,2625800000.0,2625200000.0
Inventory,729100000.0,690000000.0,709000000.0,714500000.0
Accounts Payable,243600000.0,200000000.0,207800000.0,210700000.0
