,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,29700000.0,25000000.0,-33200000.0,-300000.0
Total Cashflows From Investing Activities,-734800000.0,-88300000.0,-218000000.0,-20900000.0
Net Borrowings,237900000.0,-2200000.0,-1300000.0,-130600000.0
Total Cash From Financing Activities,201000000.0,-53200000.0,-37400000.0,-166300000.0
Change To Operating Activities,17300000.0,-25400000.0,-25100000.0,-46600000.0
Issuance Of Stock,200000.0,600000.0,900000.0,100000.0
Net Income,225800000.0,65300000.0,183000000.0,294400000.0
Change In Cash,-284500000.0,50400000.0,110700000.0,123600000.0
Repurchase Of Stock,-600000.0,-15500000.0,-1500000.0,-100000.0
Total Cash From Operating Activities,249300000.0,191900000.0,366100000.0,310800000.0
Depreciation,107900000.0,98600000.0,101300000.0,98800000.0
Other Cashflows From Investing Activities,1400000.0,9800000.0,-109100000.0,-7400000.0
Dividends Paid,-35700000.0,-36100000.0,-35500000.0,-35400000.0
Change To Inventory,17900000.0,19000000.0,3300000.0,-900000.0
Change To Account Receivables,-149300000.0,11500000.0,110600000.0,12900000.0
Other Cashflows From Financing Activities,-800000.0,-800000.0,-800000.0,-300000.0
Capital Expenditures,-102700000.0,-110300000.0,-108900000.0,-75100000.0
Change To Netincome,,-2100000.0,26200000.0,-47600000.0
