,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-2167000000.0,-1378000000.0,47000000.0,-2725000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-4619000000.0,-3171000000.0,-3582000000.0,-5431000000.0
Net Borrowings,1195000000.0,615000000.0,470000000.0,-121000000.0
Total Cash From Financing Activities,-1115000000.0,-1713000000.0,-1616000000.0,-2065000000.0
Change To Operating Activities,2023000000.0,2104000000.0,2343000000.0,2890000000.0
Issuance Of Stock,34000000.0,49000000.0,58000000.0,33000000.0
Net Income,4778000000.0,3304000000.0,2920000000.0,4604000000.0
Change In Cash,245000000.0,559000000.0,846000000.0,-1368000000.0
Repurchase Of Stock,-1537000000.0,-1627000000.0,-1301000000.0,-1351000000.0
Effect Of Exchange Rate,21000000.0,-12000000.0,30000000.0,30000000.0
Total Cash From Operating Activities,5958000000.0,5455000000.0,6014000000.0,6128000000.0
Depreciation,41000000.0,41000000.0,49000000.0,53000000.0
Other Cashflows From Investing Activities,-1274000000.0,794000000.0,283000000.0,-894000000.0
Dividends Paid,-769000000.0,-771000000.0,-793000000.0,-661000000.0
Change To Account Receivables,52000000.0,-32000000.0,-55000000.0,-91000000.0
Other Cashflows From Financing Activities,-38000000.0,21000000.0,-50000000.0,35000000.0
Change To Netincome,-731000000.0,-1000000000.0,-552000000.0,-1220000000.0
