,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,176000000.0,349000000.0,158000000.0,218000000.0
Change To Liabilities,0.0,-103000000.0,25000000.0,6000000.0
Total Cashflows From Investing Activities,,-283000000.0,-569000000.0,-1130000000.0
Net Borrowings,,-2000000.0,110000000.0,-902000000.0
Total Cash From Financing Activities,,-210000000.0,64000000.0,-264000000.0
Change To Operating Activities,,24000000.0,-61000000.0,-100000000.0
Issuance Of Stock,,9000000.0,146000000.0,3000000.0
Change In Cash,,339000000.0,-373000000.0,-1046000000.0
Total Cash From Operating Activities,,832000000.0,132000000.0,348000000.0
Depreciation,,340000000.0,139000000.0,228000000.0
Other Cashflows From Investing Activities,,-31000000.0,-27000000.0,-45000000.0
Dividends Paid,,-126000000.0,-115000000.0,-117000000.0
Change To Inventory,,168000000.0,62000000.0,-133000000.0
Change To Account Receivables,,30000000.0,-230000000.0,88000000.0
Other Cashflows From Financing Activities,,-91000000.0,-77000000.0,752000000.0
Change To Netincome,,24000000.0,-103000000.0,41000000.0
Capital Expenditures,,-437000000.0,-620000000.0,-751000000.0
