Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,13458000.0,5416000.0,5975000.0
Total Liab,800009000.0,173422000.0,93576000.0
Total Stockholder Equity,711347000.0,-42802000.0,32083000.0
Deferred Long Term Liab,1034000.0,966000.0,749000.0
Other Current Liab,207578000.0,16379000.0,15723000.0
Total Assets,1511356000.0,130620000.0,125659000.0
Common Stock,21655000.0,11603000.0,727000.0
Retained Earnings,-645069000.0,-515947000.0,-416074000.0
Other Liab,500345000.0,68192000.0,65446000.0
Treasury Stock,1334761000.0,461542000.0,447430000.0
Other Assets,7455000.0,6343000.0,6142000.0
Cash,1322593000.0,30684000.0,21380000.0
Total Current Liabilities,247622000.0,28086000.0,28130000.0
Deferred Long Term Asset Charges,445000.0,,133000.0
Other Stockholder Equity,1334761000.0,461542000.0,447430000.0
Property Plant Equipment,100589000.0,61686000.0,40472000.0
Total Current Assets,1389854000.0,57175000.0,73070000.0
Net Tangible Assets,697889000.0,-48218000.0,26108000.0
Short Term Investments,2619000.0,1458000.0,39253000.0
Net Receivables,10057000.0,17153000.0,6858000.0
Long Term Debt,25189000.0,65018000.0,
Inventory,14531000.0,6197000.0,2951000.0
Accounts Payable,17623000.0,5331000.0,9029000.0
Other Current Assets,,533000.0,1761000.0
Investments,-1161000.0,38080000.0,10459000.0
Change To Liabilities,650808000.0,-280000.0,9616000.0
Total Cashflows From Investing Activities,-45274000.0,28181000.0,-4264000.0
Net Borrowings,-47884000.0,67979000.0,-112000.0
Total Cash From Financing Activities,819833000.0,67979000.0,-112000.0
Change To Operating Activities,-47633000.0,296000.0,-5770000.0
Issuance Of Stock,867717000.0,867717000.0,867717000.0
Net Income,-129122000.0,-99873000.0,-71241000.0
Change In Cash,1291909000.0,9304000.0,-78273000.0
Effect Of Exchange Rate,-5053000.0,107000.0,213000.0
Total Cash From Operating Activities,522403000.0,-86963000.0,-74110000.0
Depreciation,9543000.0,5844000.0,3781000.0
Other Cashflows From Investing Activities,3239000.0,2325000.0,2325000.0
Change To Inventory,-8334000.0,-3246000.0,878000.0
Change To Account Receivables,15332000.0,-10117000.0,-5595000.0
Change To Netincome,30681000.0,19093000.0,-5779000.0
Capital Expenditures,-36329000.0,-11172000.0,-9406000.0
