,2021-07-03,2021-04-03,2021-01-02,2020-10-03
Intangible Assets,6587000000.0,6649000000.0,6719000000.0,6774000000.0
Capital Surplus,4464000000.0,4443000000.0,4411000000.0,4433000000.0
Total Liab,18970000000.0,18404000000.0,19677000000.0,19070000000.0
Total Stockholder Equity,16561000000.0,15931000000.0,15638000000.0,15254000000.0
Minority Interest,132000000.0,139000000.0,143000000.0,132000000.0
Other Current Liab,1818000000.0,1386000000.0,1631000000.0,826000000.0
Total Assets,35663000000.0,34474000000.0,35458000000.0,34456000000.0
Common Stock,45000000.0,45000000.0,45000000.0,45000000.0
Other Current Assets,1009000000.0,896000000.0,323000000.0,367000000.0
Retained Earnings,16305000000.0,15716000000.0,15399000000.0,15100000000.0
Other Liab,4000000000.0,4008000000.0,4037000000.0,3677000000.0
Good Will,10554000000.0,10555000000.0,10913000000.0,10899000000.0
Treasury Stock,-4253000000.0,-4273000000.0,-4217000000.0,-4324000000.0
Other Assets,1481000000.0,1487000000.0,1510000000.0,949000000.0
Cash,1613000000.0,877000000.0,2406000000.0,1420000000.0
Total Current Liabilities,6184000000.0,4612000000.0,4849000000.0,4234000000.0
Short Long Term Debt,1566000000.0,580000000.0,566000000.0,548000000.0
Other Stockholder Equity,-125000000.0,-150000000.0,-102000000.0,-179000000.0
Property Plant Equipment,7725000000.0,7661000000.0,7664000000.0,8128000000.0
Total Current Assets,9208000000.0,8014000000.0,8544000000.0,7598000000.0
Long Term Investments,108000000.0,108000000.0,108000000.0,108000000.0
Net Tangible Assets,-580000000.0,-1273000000.0,-1994000000.0,-2419000000.0
Net Receivables,2324000000.0,2113000000.0,1900000000.0,1952000000.0
Long Term Debt,8786000000.0,9784000000.0,10791000000.0,10791000000.0
Inventory,4262000000.0,4128000000.0,3915000000.0,3859000000.0
Accounts Payable,1950000000.0,1900000000.0,1997000000.0,1876000000.0
