,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Capital Surplus,17044000000.0,16866000000.0,16829000000.0,17318000000.0
Total Liab,108895000000.0,108712000000.0,107064000000.0,91025000000.0
Total Stockholder Equity,133182000000.0,131888000000.0,131688000000.0,131774000000.0
Minority Interest,729000000.0,1045000000.0,1038000000.0,264000000.0
Deferred Long Term Liab,10961000000.0,10754000000.0,1939000000.0,10471000000.0
Other Current Liab,1212000000.0,1315000000.0,1086909000.0,788000000.0
Total Assets,242806000000.0,241645000000.0,239790000000.0,223063000000.0
Common Stock,1832000000.0,1832000000.0,1832000000.0,1832000000.0
Other Current Assets,481000000.0,459000000.0,438000000.0,259000000.0
Retained Earnings,159640000000.0,159285000000.0,160377000000.0,163509000000.0
Other Liab,41227000000.0,40633000000.0,39499000000.0,37081000000.0
Good Will,4402000000.0,4402000000.0,4402000000.0,4416000000.0
Treasury Stock,-45334000000.0,-46095000000.0,-47350000000.0,-50885000000.0
Other Assets,13672000000.0,13216000000.0,9691000000.0,13806000000.0
Cash,7527000000.0,7076000000.0,5596000000.0,6866000000.0
Total Current Liabilities,28147000000.0,27480000000.0,22183000000.0,19664000000.0
Other Stockholder Equity,-4535000000.0,-4826000000.0,-5852000000.0,-4747000000.0
Property Plant Equipment,151208000000.0,154003000000.0,160567000000.0,142383000000.0
Total Current Assets,32973000000.0,30433000000.0,26078000000.0,24803000000.0
Long Term Investments,40551000000.0,39591000000.0,39052000000.0,37655000000.0
Net Tangible Assets,128780000000.0,127486000000.0,127286000000.0,127358000000.0
Short Term Investments,34000000.0,32000000.0,31000000.0,28000000.0
Net Receivables,15602000000.0,14071000000.0,11398000000.0,9632000000.0
Long Term Debt,39521000000.0,40599000000.0,42320000000.0,34280000000.0
Inventory,6239000000.0,5620000000.0,5676000000.0,5681000000.0
Accounts Payable,14719000000.0,12858000000.0,10950000000.0,9537000000.0
Deferred Long Term Asset Charges,,,5286000000.0,
Short Long Term Debt,,,-4265000000.0,
