,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-3993283000.0,-1697050000.0,-3381639000.0,-6311620000.0
Change To Liabilities,404049000.0,521709000.0,542023000.0,401174000.0
Total Cashflows From Investing Activities,-3683371000.0,-1412492000.0,-279621000.0,-732577000.0
Net Borrowings,1289417000.0,1289417000.0,1289417000.0,1289417000.0
Total Cash From Financing Activities,800220000.0,-275687000.0,-316594000.0,-275458000.0
Change To Operating Activities,2159060000.0,184121000.0,353657000.0,769496000.0
Net Income,514151000.0,1009461000.0,89041000.0,482751000.0
Change In Cash,-6385000.0,151941000.0,21028000.0,153145000.0
Repurchase Of Stock,-215928000.0,-38231000.0,-92216000.0,-62906000.0
Effect Of Exchange Rate,3187000.0,-11882000.0,7174000.0,-1513000.0
Total Cash From Operating Activities,2873579000.0,1852002000.0,610069000.0,1162693000.0
Other Cashflows From Investing Activities,309912000.0,284558000.0,3102018000.0,5579043000.0
Dividends Paid,-249097000.0,-234322000.0,-216221000.0,-207242000.0
Change To Account Receivables,-387123000.0,-62018000.0,-382987000.0,-350446000.0
Other Cashflows From Financing Activities,-24172000.0,-3134000.0,-8157000.0,-5310000.0
Change To Netincome,-56441000.0,-38750000.0,273400000.0,-26205000.0
