,2021-01-03,2019-12-29,2018-12-30,2017-12-31
Change To Liabilities,-75100000.0,-24200000.0,13500000.0,40500000.0
Total Cashflows From Investing Activities,-99400000.0,-571900000.0,-88600000.0,-831200000.0
Net Borrowings,-98100000.0,108800000.0,-306500000.0,393700000.0
Total Cash From Financing Activities,-61800000.0,141700000.0,-271300000.0,414100000.0
Change To Operating Activities,43500000.0,12500000.0,16600000.0,-3400000.0
Issuance Of Stock,36300000.0,34600000.0,37200000.0,24900000.0
Net Income,401900000.0,402300000.0,333800000.0,227200000.0
Change In Cash,473600000.0,57000000.0,71600000.0,-27700000.0
Effect Of Exchange Rate,15900000.0,5100000.0,-15400000.0,14700000.0
Total Cash From Operating Activities,618900000.0,482100000.0,446900000.0,374700000.0
Depreciation,116200000.0,111900000.0,113000000.0,113000000.0
Other Cashflows From Investing Activities,1000000.0,500000.0,1300000.0,1400000.0
Change To Inventory,54300000.0,12200000.0,-1700000.0,-7400000.0
Change To Account Receivables,47800000.0,-58800000.0,-66700000.0,-19600000.0
Change To Netincome,30300000.0,26200000.0,38400000.0,24400000.0
Capital Expenditures,-71400000.0,-88400000.0,-86800000.0,-58500000.0
Other Cashflows From Financing Activities,,-1700000.0,-2000000.0,-4500000.0
