,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-81622000.0,-9390000.0,-12940000.0,-238957000.0
Change To Liabilities,15120000.0,-20180000.0,36156000.0,-7928000.0
Total Cashflows From Investing Activities,-269001000.0,-87454000.0,-86423000.0,-349978000.0
Net Borrowings,-836000.0,-822000.0,-822000.0,-822000.0
Total Cash From Financing Activities,71709000.0,45711000.0,14657000.0,690210000.0
Change To Operating Activities,105792000.0,84786000.0,-45439000.0,56389000.0
Issuance Of Stock,110305000.0,63299000.0,29942000.0,716151000.0
Net Income,-295697000.0,446906000.0,109493000.0,-313142000.0
Change In Cash,-318942000.0,668721000.0,264552000.0,247205000.0
Effect Of Exchange Rate,2949000.0,-192000.0,91000.0,-39000.0
Total Cash From Operating Activities,-124599000.0,710656000.0,336227000.0,-92988000.0
Depreciation,53707000.0,55333000.0,54969000.0,52178000.0
Change To Inventory,-19468000.0,-6100000.0,4043000.0,4851000.0
Change To Account Receivables,-173185000.0,-1211000.0,-41299000.0,-117541000.0
Other Cashflows From Financing Activities,-37760000.0,-16766000.0,-15285000.0,-25941000.0
Change To Netincome,188432000.0,150222000.0,218304000.0,232205000.0
Capital Expenditures,-187379000.0,-78064000.0,-73483000.0,-111021000.0
