,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,1739000000.0,1855000000.0,1327000000.0,1309000000.0
Capital Surplus,4322000000.0,4312000000.0,4378000000.0,4379000000.0
Total Liab,55555000000.0,54547000000.0,49206000000.0,211766000000.0
Total Stockholder Equity,18222000000.0,15936000000.0,12767000000.0,13494000000.0
Other Current Liab,6825000000.0,6654000000.0,5297000000.0,167791000000.0
Total Assets,74111000000.0,70817000000.0,62307000000.0,225260000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0
Other Current Assets,6639000000.0,5965000000.0,4374000000.0,169012000000.0
Retained Earnings,13918000000.0,12685000000.0,11055000000.0,9642000000.0
Other Liab,44087000000.0,42784000000.0,39097000000.0,38719000000.0
Good Will,1911000000.0,1913000000.0,1290000000.0,1290000000.0
Treasury Stock,-22000000.0,-1065000000.0,-2670000000.0,-531000000.0
Other Assets,6854000000.0,7102000000.0,7664000000.0,6760000000.0
Cash,151000000.0,185000000.0,112000000.0,180000000.0
Total Current Liabilities,6942000000.0,7214000000.0,5844000000.0,168369000000.0
Deferred Long Term Asset Charges,46000000.0,299000000.0,1248000000.0,1164000000.0
Short Long Term Debt,70000000.0,560000000.0,475000000.0,404000000.0
Other Stockholder Equity,1170000000.0,52000000.0,-1579000000.0,663000000.0
Property Plant Equipment,1122000000.0,1181000000.0,1006000000.0,1034000000.0
Total Current Assets,14342000000.0,13456000000.0,12765000000.0,175373000000.0
Long Term Investments,48143000000.0,45310000000.0,38255000000.0,39494000000.0
Net Tangible Assets,15392000000.0,13031000000.0,10820000000.0,11565000000.0
Short Term Investments,3283000000.0,2921000000.0,4283000000.0,2270000000.0
Net Receivables,4268000000.0,4384000000.0,3995000000.0,3910000000.0
Long Term Debt,4352000000.0,4348000000.0,4265000000.0,4678000000.0
