,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-8772000000.0,3151000000.0,-3463000000.0,-4333000000.0
Change To Liabilities,203000000.0,-7366000000.0,13582000000.0,3736000000.0
Total Cashflows From Investing Activities,-22080000000.0,-8666000000.0,-17037000000.0,-15876000000.0
Net Borrowings,15643000000.0,-3476000000.0,-1816000000.0,-4105000000.0
Total Cash From Financing Activities,15643000000.0,-3476000000.0,-1816000000.0,-4105000000.0
Change To Operating Activities,-1685000000.0,-4060000000.0,7129000000.0,-310000000.0
Net Income,7778000000.0,8107000000.0,7222000000.0,6331000000.0
Change In Cash,6512000000.0,-8222000000.0,12175000000.0,-7640000000.0
Effect Of Exchange Rate,234000000.0,-293000000.0,597000000.0,377000000.0
Total Cash From Operating Activities,12715000000.0,4213000000.0,30431000000.0,11964000000.0
Depreciation,8038000000.0,7508000000.0,7618000000.0,6523000000.0
Change To Inventory,-209000000.0,-304000000.0,329000000.0,-3899000000.0
Change To Account Receivables,-4462000000.0,-2255000000.0,-4561000000.0,-2016000000.0
Change To Netincome,3052000000.0,2583000000.0,-888000000.0,1599000000.0
Capital Expenditures,-14288000000.0,-12082000000.0,-14823000000.0,-11063000000.0
