,2021-04-04,2021-01-03,2020-09-27,2020-06-28
Investments,1366000000.0,28000000.0,-14000000.0,-186000000.0
Change To Liabilities,-8000000.0,42000000.0,11000000.0,3000000.0
Total Cashflows From Investing Activities,1376000000.0,-34000000.0,-65000000.0,-320000000.0
Net Borrowings,961000000.0,961000000.0,961000000.0,961000000.0
Total Cash From Financing Activities,968000000.0,-331000000.0,-101000000.0,-143000000.0
Change To Operating Activities,101000000.0,37000000.0,-43000000.0,67000000.0
Issuance Of Stock,31000000.0,31000000.0,27000000.0,2000000.0
Net Income,147000000.0,257000000.0,179000000.0,47000000.0
Change In Cash,2623000000.0,49000000.0,-9000000.0,-221000000.0
Repurchase Of Stock,-24000000.0,-331000000.0,-128000000.0,-145000000.0
Effect Of Exchange Rate,-3000000.0,8000000.0,4000000.0,2000000.0
Total Cash From Operating Activities,282000000.0,406000000.0,153000000.0,240000000.0
Depreciation,48000000.0,50000000.0,47000000.0,46000000.0
Other Cashflows From Investing Activities,52000000.0,52000000.0,52000000.0,52000000.0
Change To Inventory,8000000.0,44000000.0,19000000.0,-51000000.0
Change To Account Receivables,-39000000.0,-19000000.0,-82000000.0,91000000.0
Change To Netincome,15000000.0,-16000000.0,12000000.0,28000000.0
Capital Expenditures,-42000000.0,-62000000.0,-48000000.0,-39000000.0
