,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,1308000000.0,1565000000.0,1897000000.0,2106000000.0
Total Liab,62946000000.0,63824000000.0,64429000000.0,63196000000.0
Total Stockholder Equity,15331000000.0,14588000000.0,14039000000.0,13697000000.0
Minority Interest,47000000.0,41000000.0,41000000.0,69000000.0
Other Current Liab,3561000000.0,3757000000.0,3735000000.0,3657000000.0
Total Assets,78324000000.0,78453000000.0,78509000000.0,76962000000.0
Common Stock,6230000000.0,5935000000.0,5827000000.0,5593000000.0
Other Current Assets,133000000.0,31000000.0,52000000.0,242000000.0
Retained Earnings,35167000000.0,34437000000.0,30427000000.0,26301000000.0
Other Liab,10773000000.0,10461000000.0,11211000000.0,12418000000.0
Good Will,6394000000.0,6196000000.0,6217000000.0,6183000000.0
Treasury Stock,-26066000000.0,-25784000000.0,-22215000000.0,-18197000000.0
Other Assets,4180000000.0,3932000000.0,3443000000.0,3495000000.0
Cash,8822000000.0,7299000000.0,6968000000.0,7381000000.0
Total Current Liabilities,25717000000.0,26621000000.0,28218000000.0,26931000000.0
Deferred Long Term Asset Charges,1358000000.0,1324000000.0,1363000000.0,1569000000.0
Short Long Term Debt,1420000000.0,16000000.0,10000000.0,6000000.0
Other Stockholder Equity,-888000000.0,-1567000000.0,-1684000000.0,-1192000000.0
Property Plant Equipment,8912000000.0,9230000000.0,9085000000.0,9823000000.0
Total Current Assets,39464000000.0,39193000000.0,38603000000.0,36244000000.0
Long Term Investments,1687000000.0,1365000000.0,,
Net Tangible Assets,7629000000.0,6827000000.0,5925000000.0,5386000000.0
Net Receivables,7178000000.0,8484000000.0,8714000000.0,7376000000.0
Long Term Debt,9646000000.0,9013000000.0,8005000000.0,7492000000.0
Inventory,11402000000.0,11266000000.0,11529000000.0,10018000000.0
Accounts Payable,6128000000.0,5957000000.0,7051000000.0,6487000000.0
