,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-404000000.0,-70000000.0,-456000000.0,-175000000.0
Change To Liabilities,-28000000.0,-1035000000.0,526000000.0,1470000000.0
Total Cashflows From Investing Activities,-1485000000.0,-1928000000.0,-3212000000.0,-966000000.0
Net Borrowings,-610000000.0,1406000000.0,1840000000.0,-2383000000.0
Total Cash From Financing Activities,-3755000000.0,-4538000000.0,-3650000000.0,-3657000000.0
Change To Operating Activities,-1797000000.0,-2340000000.0,-1405000000.0,782000000.0
Issuance Of Stock,229000000.0,238000000.0,313000000.0,566000000.0
Net Income,2998000000.0,6093000000.0,6147000000.0,754000000.0
Change In Cash,1074000000.0,402000000.0,-430000000.0,1121000000.0
Repurchase Of Stock,-1130000000.0,-4047000000.0,-3798000000.0,-3798000000.0
Effect Of Exchange Rate,-13000000.0,-44000000.0,-126000000.0,38000000.0
Total Cash From Operating Activities,6327000000.0,6912000000.0,6558000000.0,5706000000.0
Depreciation,2337000000.0,2577000000.0,2766000000.0,2877000000.0
Other Cashflows From Investing Activities,-66000000.0,-24000000.0,13000000.0,89000000.0
Dividends Paid,-2243000000.0,-2132000000.0,-1951000000.0,-1831000000.0
Change To Inventory,-34000000.0,274000000.0,-1579000000.0,-1295000000.0
Change To Account Receivables,1442000000.0,171000000.0,-1619000000.0,-1151000000.0
Other Cashflows From Financing Activities,-1000000.0,-3000000.0,-54000000.0,-9000000.0
Change To Netincome,1409000000.0,1172000000.0,1722000000.0,2269000000.0
Capital Expenditures,-2115000000.0,-2669000000.0,-2916000000.0,-2336000000.0
