,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,-15000000.0,-98000000.0,29000000.0,71000000.0
Total Cashflows From Investing Activities,20000000.0,-29000000.0,-36000000.0,-44000000.0
Net Borrowings,-1500000000.0,430000000.0,430000000.0,430000000.0
Total Cash From Financing Activities,-3577000000.0,-2172000000.0,-1683000000.0,-1564000000.0
Change To Operating Activities,-2249000000.0,668000000.0,847000000.0,-397000000.0
Net Income,2149000000.0,1424000000.0,1924000000.0,-952000000.0
Change In Cash,-3918000000.0,839000000.0,822000000.0,-710000000.0
Repurchase Of Stock,-325000000.0,-325000000.0,-325000000.0,-325000000.0
Total Cash From Operating Activities,-361000000.0,3040000000.0,2541000000.0,898000000.0
Depreciation,65000000.0,63000000.0,65000000.0,62000000.0
Other Cashflows From Investing Activities,47000000.0,-3000000.0,33000000.0,12000000.0
Dividends Paid,-1595000000.0,-1601000000.0,-1600000000.0,-1564000000.0
Change To Inventory,154000000.0,18000000.0,-134000000.0,49000000.0
Change To Account Receivables,10000000.0,-5000000.0,19000000.0,-11000000.0
Other Cashflows From Financing Activities,-157000000.0,-676000000.0,-83000000.0,-83000000.0
Change To Netincome,92000000.0,574000000.0,-180000000.0,3125000000.0
Capital Expenditures,-27000000.0,-26000000.0,-69000000.0,-56000000.0
