,2021-08-01,2021-05-02,2021-01-31,2020-10-25
Investments,-2350000000.0,-974000000.0,-2846000000.0,-175000000.0
Change To Liabilities,209000000.0,70000000.0,74000000.0,226000000.0
Total Cashflows From Investing Activities,-2533000000.0,-1272000000.0,-3129000000.0,-2001000000.0
Net Borrowings,4985000000.0,4985000000.0,-3000000.0,-3000000.0
Total Cash From Financing Activities,4501000000.0,-471000000.0,-342000000.0,-301000000.0
Change To Operating Activities,200000000.0,48000000.0,232000000.0,-360000000.0
Issuance Of Stock,2000000.0,126000000.0,4000000.0,96000000.0
Net Income,2374000000.0,1912000000.0,1457000000.0,1336000000.0
Change In Cash,4650000000.0,131000000.0,-1404000000.0,-1023000000.0
Repurchase Of Stock,-366000000.0,-477000000.0,-226000000.0,-298000000.0
Total Cash From Operating Activities,2682000000.0,1874000000.0,2067000000.0,1279000000.0
Depreciation,286000000.0,281000000.0,288000000.0,299000000.0
Dividends Paid,-99000000.0,-99000000.0,-99000000.0,-99000000.0
Change To Inventory,-123000000.0,-159000000.0,-334000000.0,-93000000.0
Change To Account Receivables,-562000000.0,-595000000.0,117000000.0,-462000000.0
Other Cashflows From Financing Activities,-21000000.0,-21000000.0,-18000000.0,-18000000.0
Change To Netincome,299000000.0,317000000.0,233000000.0,333000000.0
Capital Expenditures,-183000000.0,-298000000.0,-283000000.0,-473000000.0
