,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,3363000000.0,3462000000.0,2864000000.0,2654000000.0
Capital Surplus,8518000000.0,8487000000.0,8511000000.0,8516000000.0
Total Liab,505212000000.0,501067000000.0,500180000000.0,487260000000.0
Total Stockholder Equity,47071000000.0,45710000000.0,47112000000.0,46581000000.0
Minority Interest,635000000.0,630000000.0,630000000.0,630000000.0
Total Assets,558886000000.0,553375000000.0,553905000000.0,540455000000.0
Common Stock,21000000.0,21000000.0,21000000.0,21000000.0
Other Current Assets,6961000000.0,10304000000.0,10089000000.0,8816000000.0
Retained Earnings,67039000000.0,65740000000.0,64188000000.0,63391000000.0
Other Liab,16986000000.0,16387000000.0,14823000000.0,16772000000.0
Good Will,9911000000.0,9905000000.0,9918000000.0,9889000000.0
Treasury Stock,-28507000000.0,-28538000000.0,-25608000000.0,-25347000000.0
Other Assets,322526000000.0,318586000000.0,318605000000.0,326690000000.0
Cash,44573000000.0,43501000000.0,62507000000.0,44047000000.0
Total Current Liabilities,451866000000.0,447261000000.0,443134000000.0,428045000000.0
Other Stockholder Equity,-1202000000.0,-2095000000.0,322000000.0,612000000.0
Property Plant Equipment,3295000000.0,3388000000.0,3468000000.0,3516000000.0
Total Current Assets,54452000000.0,56835000000.0,76797000000.0,57122000000.0
Long Term Investments,165339000000.0,161199000000.0,142253000000.0,140584000000.0
Net Tangible Assets,36510000000.0,35130000000.0,36540000000.0,36016000000.0
Long Term Debt,36360000000.0,37419000000.0,41221000000.0,42443000000.0
Inventory,41000000.0,74000000.0,74000000.0,89000000.0
Accounts Payable,437182000000.0,433761000000.0,429770000000.0,413217000000.0
