,2021-01-29,2020-01-31,2019-02-01,2018-02-02
Investments,-168000000.0,-48000000.0,20000000.0,133000000.0
Change To Liabilities,3723000000.0,-652000000.0,1743000000.0,-92000000.0
Total Cashflows From Investing Activities,-1894000000.0,-1369000000.0,-1080000000.0,-1441000000.0
Net Borrowings,1370000000.0,3079000000.0,-741000000.0,744000000.0
Total Cash From Financing Activities,-5191000000.0,-2735000000.0,-5124000000.0,-3607000000.0
Change To Operating Activities,1139000000.0,-1003000000.0,313000000.0,387000000.0
Issuance Of Stock,152000000.0,118000000.0,114000000.0,139000000.0
Net Income,5835000000.0,4281000000.0,2314000000.0,3447000000.0
Change In Cash,3974000000.0,205000000.0,-77000000.0,30000000.0
Repurchase Of Stock,-4971000000.0,-4313000000.0,-3037000000.0,-3192000000.0
Effect Of Exchange Rate,10000000.0,1000000.0,-12000000.0,13000000.0
Total Cash From Operating Activities,11049000000.0,4296000000.0,6193000000.0,5065000000.0
Depreciation,1593000000.0,1387000000.0,1607000000.0,1540000000.0
Other Cashflows From Investing Activities,-25000000.0,-25000000.0,-2000000.0,13000000.0
Dividends Paid,-1704000000.0,-1618000000.0,-1455000000.0,-1288000000.0
Change To Inventory,-2967000000.0,-600000000.0,-1289000000.0,-791000000.0
Other Cashflows From Financing Activities,-38000000.0,-1000000.0,-5000000.0,-10000000.0
Change To Netincome,1726000000.0,883000000.0,1505000000.0,574000000.0
Capital Expenditures,-1791000000.0,-1484000000.0,-1174000000.0,-1123000000.0
