,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,959000000.0,-520000000.0,499000000.0,29000000.0
Change To Liabilities,-145000000.0,303000000.0,132000000.0,-424000000.0
Total Cashflows From Investing Activities,180000000.0,-143000000.0,-12127000000.0,-165000000.0
Net Borrowings,-1123000000.0,-4584000000.0,5692000000.0,-1742000000.0
Total Cash From Financing Activities,-3182000000.0,-7295000000.0,3483000000.0,-2587000000.0
Change To Operating Activities,442000000.0,-1137000000.0,104000000.0,1105000000.0
Net Income,1055000000.0,2021000000.0,-10027000000.0,1872000000.0
Change In Cash,76000000.0,-3652000000.0,-4887000000.0,-502000000.0
Repurchase Of Stock,-1236000000.0,-1775000000.0,-1465000000.0,-1465000000.0
Effect Of Exchange Rate,18000000.0,-38000000.0,87000000.0,31000000.0
Total Cash From Operating Activities,3060000000.0,3824000000.0,3670000000.0,2219000000.0
Depreciation,2510000000.0,2735000000.0,2724000000.0,2635000000.0
Dividends Paid,-1099000000.0,-1108000000.0,-1021000000.0,-1016000000.0
Change To Inventory,5000000.0,106000000.0,101000000.0,481000000.0
Change To Account Receivables,-693000000.0,67000000.0,-290000000.0,-159000000.0
Other Cashflows From Financing Activities,276000000.0,172000000.0,277000000.0,171000000.0
Change To Netincome,908000000.0,-498000000.0,11127000000.0,-1002000000.0
Capital Expenditures,-210000000.0,-173000000.0,-283000000.0,-153000000.0
