,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,2574800000.0,2583500000.0,2783200000.0,2610600000.0
Capital Surplus,870500000.0,865400000.0,860200000.0,854700000.0
Total Liab,7808000000.0,7392000000.0,7202200000.0,6803800000.0
Total Stockholder Equity,3110700000.0,3008600000.0,2961800000.0,2944500000.0
Minority Interest,23400000.0,22700000.0,22400000.0,23900000.0
Other Current Liab,361200000.0,332700000.0,784700000.0,261000000.0
Total Assets,10942100000.0,10423300000.0,10186400000.0,9772200000.0
Common Stock,18600000.0,18600000.0,18600000.0,18600000.0
Other Current Assets,7700000.0,18900000.0,31600000.0,19100000.0
Retained Earnings,4767900000.0,4627000000.0,4506400000.0,4519300000.0
Other Liab,1183800000.0,1235500000.0,1292600000.0,1254500000.0
Good Will,1465600000.0,1466400000.0,1468900000.0,1464200000.0
Treasury Stock,-2546300000.0,-2502400000.0,-2423400000.0,-2448100000.0
Other Assets,772700000.0,796700000.0,636600000.0,790900000.0
Cash,728500000.0,416700000.0,568900000.0,297100000.0
Total Current Liabilities,3841500000.0,3380100000.0,2829000000.0,2368300000.0
Deferred Long Term Asset Charges,227900000.0,225400000.0,229600000.0,256700000.0
Short Long Term Debt,393600000.0,385100000.0,93600000.0,81300000.0
Other Stockholder Equity,-304500000.0,-282800000.0,-282200000.0,-357900000.0
Property Plant Equipment,925100000.0,905700000.0,919000000.0,889600000.0
Total Current Assets,5197300000.0,4667100000.0,4375600000.0,4015200000.0
Long Term Investments,6600000.0,3900000.0,3100000.0,1700000.0
Net Tangible Assets,-929700000.0,-1041300000.0,-1290300000.0,-1130300000.0
Net Receivables,2627300000.0,2532800000.0,2528800000.0,2137900000.0
Long Term Debt,2630800000.0,2631400000.0,2929500000.0,3028300000.0
Inventory,1398100000.0,1254700000.0,1095600000.0,1155500000.0
Accounts Payable,1158000000.0,1074400000.0,946700000.0,757200000.0
