,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,16527000000.0,17214000000.0,18688000000.0,16179000000.0
Capital Surplus,33440000000.0,33910000000.0,33812000000.0,33744000000.0
Total Liab,703830000000.0,703677000000.0,720329000000.0,706923000000.0
Total Stockholder Equity,69138000000.0,65864000000.0,74558000000.0,73316000000.0
Minority Interest,285000000.0,273000000.0,259000000.0,253000000.0
Other Current Liab,15871000000.0,13190000000.0,10017000000.0,11198000000.0
Total Assets,773253000000.0,769814000000.0,795146000000.0,780492000000.0
Common Stock,12000000.0,12000000.0,12000000.0,12000000.0
Other Current Assets,15409000000.0,14743000000.0,15661000000.0,9106000000.0
Retained Earnings,39318000000.0,36373000000.0,36491000000.0,36782000000.0
Other Liab,556458000000.0,561365000000.0,579388000000.0,562379000000.0
Good Will,9768000000.0,9944000000.0,10112000000.0,9360000000.0
Treasury Stock,-3632000000.0,-4431000000.0,4243000000.0,2778000000.0
Other Assets,306355000000.0,314829000000.0,314225000000.0,300520000000.0
Cash,25037000000.0,19635000000.0,19795000000.0,24405000000.0
Total Current Liabilities,69082000000.0,64117000000.0,62553000000.0,67629000000.0
Short Long Term Debt,338000000.0,657000000.0,238000000.0,213000000.0
Other Stockholder Equity,12309000000.0,10397000000.0,18072000000.0,16036000000.0
Total Current Assets,70829000000.0,65871000000.0,66844000000.0,68724000000.0
Long Term Investments,369774000000.0,361956000000.0,382663000000.0,385709000000.0
Net Tangible Assets,59370000000.0,55920000000.0,62147000000.0,63956000000.0
Short Term Investments,3759000000.0,4781000000.0,3904000000.0,3832000000.0
Net Receivables,19576000000.0,20225000000.0,19155000000.0,21862000000.0
Long Term Debt,78290000000.0,78195000000.0,77095000000.0,76915000000.0
Accounts Payable,21860000000.0,21274000000.0,22147000000.0,21095000000.0
Deferred Long Term Liab,,,108000000.0,
Deferred Long Term Asset Charges,,,94000000.0,
Property Plant Equipment,,,2614000000.0,
