,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-129000000.0,-425000000.0,551000000.0,-388000000.0
Total Cashflows From Investing Activities,-4336000000.0,-7260000000.0,-7834000000.0,-7971000000.0
Net Borrowings,1728000000.0,1320000000.0,1116000000.0,390000000.0
Total Cash From Financing Activities,145000000.0,-58000000.0,-219000000.0,767000000.0
Change To Operating Activities,-5422000000.0,-2357000000.0,-1309000000.0,-1210000000.0
Issuance Of Stock,45000000.0,112000000.0,105000000.0,1300000000.0
Net Income,1963000000.0,2936000000.0,2005000000.0,3779000000.0
Change In Cash,44000000.0,-659000000.0,591000000.0,276000000.0
Total Cash From Operating Activities,4235000000.0,6659000000.0,8644000000.0,7480000000.0
Depreciation,4984000000.0,5023000000.0,4820000000.0,4687000000.0
Other Cashflows From Investing Activities,3666000000.0,-24000000.0,-177000000.0,-311000000.0
Dividends Paid,-1492000000.0,-1408000000.0,-1332000000.0,-1236000000.0
Change To Inventory,-85000000.0,-87000000.0,-37000000.0,-72000000.0
Change To Account Receivables,697000000.0,-243000000.0,-565000000.0,-470000000.0
Other Cashflows From Financing Activities,-136000000.0,-82000000.0,-108000000.0,313000000.0
Change To Netincome,1499000000.0,1348000000.0,2284000000.0,377000000.0
Capital Expenditures,-8048000000.0,-7289000000.0,-7748000000.0,-7584000000.0
