,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,3613000000.0,3321000000.0,1753000000.0,1507000000.0
Capital Surplus,5053000000.0,4949000000.0,4982000000.0,4926000000.0
Total Liab,28342000000.0,28347000000.0,27067000000.0,25713000000.0
Total Stockholder Equity,6442000000.0,6327000000.0,6391000000.0,5796000000.0
Minority Interest,127000000.0,126000000.0,126000000.0,85000000.0
Deferred Long Term Liab,3609000000.0,3413000000.0,3220000000.0,3175000000.0
Other Current Liab,4745000000.0,5446000000.0,5320000000.0,4866000000.0
Total Assets,34911000000.0,34800000000.0,33584000000.0,31594000000.0
Other Current Assets,4609000000.0,4344000000.0,4165000000.0,4112000000.0
Retained Earnings,41771000000.0,40140000000.0,38747000000.0,37403000000.0
Other Liab,3795000000.0,3651000000.0,2471000000.0,3181000000.0
Good Will,7661000000.0,7051000000.0,4960000000.0,4159000000.0
Treasury Stock,-40382000000.0,-38762000000.0,-37338000000.0,-36533000000.0
Other Assets,5124000000.0,4868000000.0,4684000000.0,4659000000.0
Cash,6216000000.0,7246000000.0,10113000000.0,10225000000.0
Total Current Liabilities,11297000000.0,11475000000.0,11847000000.0,9958000000.0
Deferred Long Term Asset Charges,454000000.0,459000000.0,491000000.0,607000000.0
Short Long Term Debt,649000000.0,649000000.0,649000000.0,
Other Stockholder Equity,-653000000.0,-738000000.0,-680000000.0,-880000000.0
Property Plant Equipment,1839000000.0,1850000000.0,1902000000.0,1887000000.0
Total Current Assets,15079000000.0,16405000000.0,19113000000.0,18469000000.0
Long Term Investments,1595000000.0,1305000000.0,1172000000.0,913000000.0
Net Tangible Assets,-4832000000.0,-4045000000.0,-322000000.0,130000000.0
Short Term Investments,544000000.0,489000000.0,483000000.0,400000000.0
Net Receivables,3710000000.0,4326000000.0,4352000000.0,3732000000.0
Long Term Debt,13250000000.0,13221000000.0,12023000000.0,12574000000.0
Accounts Payable,547000000.0,476000000.0,527000000.0,341000000.0
