,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Capital Surplus,5771179000.0,5763868000.0,5766511000.0,5759104000.0
Total Liab,5770923000.0,5953384000.0,5928460000.0,5968822000.0
Total Stockholder Equity,5707249000.0,5663293000.0,5608024000.0,5474938000.0
Minority Interest,80730000.0,83006000.0,77994000.0,80412000.0
Other Current Liab,5366000.0,5366000.0,5366000.0,5366000.0
Total Assets,11558922000.0,11699703000.0,11614498000.0,11524192000.0
Common Stock,4335000.0,4334000.0,4325000.0,4325000.0
Other Liab,455560000.0,510704000.0,324538000.0,517185000.0
Treasury Stock,-68265000.0,-104909000.0,-162812000.0,-288491000.0
Other Assets,230646000.0,249835000.0,237044000.0,78524000.0
Cash,230062000.0,253852000.0,293188000.0,324977000.0
Total Current Liabilities,5366000.0,5366000.0,163032000.0,5366000.0
Other Stockholder Equity,-68265000.0,-104909000.0,-162812000.0,-288491000.0
Property Plant Equipment,9369138000.0,9517144000.0,9331278000.0,9474016000.0
Total Current Assets,430183000.0,454507000.0,512436000.0,564841000.0
Long Term Investments,1528955000.0,1478217000.0,1414788000.0,1406811000.0
Net Tangible Assets,5707249000.0,5663293000.0,5489072000.0,5474938000.0
Net Receivables,200121000.0,200655000.0,219248000.0,239864000.0
Long Term Debt,5215505000.0,5341481000.0,5355480000.0,5357378000.0
Intangible Assets,,,118952000.0,
Deferred Long Term Liab,,,141567000.0,
Deferred Long Term Asset Charges,,,13015000.0,
Accounts Payable,,,146457000.0,
