,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Capital Surplus,14399000000.0,14384000000.0,12656000000.0,12615000000.0
Total Liab,10445000000.0,10344000000.0,7815000000.0,8091000000.0
Total Stockholder Equity,10926000000.0,10673000000.0,8794000000.0,9552000000.0
Minority Interest,964000000.0,979000000.0,1010000000.0,1117000000.0
Other Current Liab,1420000000.0,1195000000.0,707000000.0,727000000.0
Total Assets,22335000000.0,21996000000.0,17619000000.0,18760000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,31000000.0,19000000.0,5000000.0,22000000.0
Retained Earnings,-3475000000.0,-3713000000.0,-3864000000.0,-3065000000.0
Other Liab,1096000000.0,1011000000.0,952000000.0,1202000000.0
Other Assets,256000000.0,268000000.0,270000000.0,222000000.0
Cash,344000000.0,121000000.0,104000000.0,92000000.0
Total Current Liabilities,1972000000.0,1868000000.0,1236000000.0,1229000000.0
Deferred Long Term Asset Charges,28000000.0,32000000.0,73000000.0,75000000.0
Property Plant Equipment,20419000000.0,20352000000.0,16214000000.0,17448000000.0
Total Current Assets,1142000000.0,851000000.0,602000000.0,558000000.0
Long Term Investments,518000000.0,525000000.0,533000000.0,532000000.0
Net Tangible Assets,10926000000.0,10673000000.0,8794000000.0,9552000000.0
Net Receivables,690000000.0,632000000.0,437000000.0,391000000.0
Long Term Debt,7377000000.0,7465000000.0,5624000000.0,5656000000.0
Inventory,52000000.0,52000000.0,33000000.0,33000000.0
Accounts Payable,104000000.0,71000000.0,71000000.0,95000000.0
Short Long Term Debt,,191000000.0,191000000.0,191000000.0
