,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Capital Surplus,1815770000.0,1808232000.0,1804354000.0,1800002000.0
Total Liab,2310672000.0,2244882000.0,2307825000.0,2300817000.0
Total Stockholder Equity,2299895000.0,2305970000.0,2215707000.0,2118488000.0
Deferred Long Term Liab,5844000.0,6360000.0,6875000.0,7391000.0
Other Current Liab,77199000.0,19895000.0,,11628000.0
Total Assets,4610567000.0,4550852000.0,4523532000.0,4419305000.0
Common Stock,47862000.0,47838000.0,47783000.0,47754000.0
Other Current Assets,15400000.0,21984000.0,39437000.0,13900000.0
Retained Earnings,2257320000.0,2270819000.0,2184352000.0,2093004000.0
Other Liab,957737000.0,954970000.0,942047000.0,910583000.0
Treasury Stock,-1821057000.0,-1820919000.0,-1820782000.0,-1822272000.0
Other Assets,31708000.0,30784000.0,29470000.0,27352000.0
Cash,158147000.0,173659000.0,140113000.0,170000.0
Total Current Liabilities,378684000.0,315092000.0,390226000.0,385928000.0
Short Long Term Debt,100000000.0,100000000.0,188000000.0,188000000.0
Other Stockholder Equity,2144000.0,2282000.0,2419000.0,929000.0
Property Plant Equipment,4182793000.0,4108153000.0,4078347000.0,4069401000.0
Total Current Assets,396066000.0,411915000.0,415715000.0,322552000.0
Net Tangible Assets,2299895000.0,2305970000.0,2215707000.0,2118488000.0
Net Receivables,205124000.0,200402000.0,220895000.0,293553000.0
Long Term Debt,946316000.0,946123000.0,945924000.0,973712000.0
Inventory,17395000.0,15870000.0,15270000.0,14929000.0
Accounts Payable,166256000.0,169101000.0,162081000.0,151662000.0
