,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-9459000.0,241853000.0,-77263000.0,-57039000.0
Change To Liabilities,-30040000.0,-30176000.0,30468000.0,-2552000.0
Total Cashflows From Investing Activities,-584478000.0,-543915000.0,-293383000.0,-706153000.0
Net Borrowings,-87000000.0,-7000000.0,-297000000.0,-297000000.0
Total Cash From Financing Activities,-255849000.0,-690380000.0,-1289280000.0,-210502000.0
Change To Operating Activities,7370000.0,-21807000.0,16536000.0,-5320000.0
Net Income,200529000.0,681070000.0,557043000.0,100393000.0
Change In Cash,-62092000.0,211496000.0,-477760000.0,-18495000.0
Repurchase Of Stock,-9459000.0,-530453000.0,-880911000.0,-131714000.0
Total Cash From Operating Activities,778235000.0,1445791000.0,1104903000.0,898160000.0
Depreciation,390903000.0,405733000.0,417479000.0,1051628000.0
Dividends Paid,-159390000.0,-145515000.0,-111369000.0,-78838000.0
Change To Inventory,-1981000.0,-2856000.0,-3927000.0,1334000.0
Change To Account Receivables,-5700000.0,153379000.0,-146921000.0,-25036000.0
Change To Netincome,90569000.0,269996000.0,289210000.0,-180693000.0
Capital Expenditures,-575847000.0,-788368000.0,-894470000.0,-764558000.0
Other Cashflows From Financing Activities,,-7412000.0,-7412000.0,50000.0
