,2021-07-04,2021-04-04,2020-12-31,2020-09-27
Investments,-3000000.0,6000000.0,-12000000.0,-15000000.0
Change To Liabilities,73000000.0,51000000.0,333000000.0,82000000.0
Total Cashflows From Investing Activities,-189000000.0,-181000000.0,-163000000.0,-105000000.0
Net Borrowings,2000000000.0,2000000000.0,-1809000000.0,-1809000000.0
Total Cash From Financing Activities,619000000.0,-979000000.0,-2165000000.0,-124000000.0
Change To Operating Activities,-52000000.0,-8000000.0,23000000.0,-9000000.0
Net Income,397000000.0,353000000.0,309000000.0,-22000000.0
Change In Cash,1068000000.0,-433000000.0,-1291000000.0,300000000.0
Repurchase Of Stock,-1203000000.0,-905000000.0,-257000000.0,-12000000.0
Effect Of Exchange Rate,2000000.0,-5000000.0,8000000.0,2000000.0
Total Cash From Operating Activities,636000000.0,732000000.0,1029000000.0,527000000.0
Depreciation,303000000.0,303000000.0,314000000.0,552000000.0
Dividends Paid,-155000000.0,-105000000.0,-105000000.0,-105000000.0
Change To Inventory,-60000000.0,-26000000.0,34000000.0,164000000.0
Change To Account Receivables,-135000000.0,-95000000.0,-50000000.0,-252000000.0
Other Cashflows From Financing Activities,-23000000.0,-23000000.0,-2000000.0,-34000000.0
Change To Netincome,106000000.0,150000000.0,62000000.0,8000000.0
Capital Expenditures,-150000000.0,-150000000.0,-104000000.0,-70000000.0
Issuance Of Stock,,31000000.0,8000000.0,27000000.0
