,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Total Liab,53423000000.0,48886000000.0,44063000000.0,38695000000.0
Total Stockholder Equity,14048000000.0,13303000000.0,10459000000.0,11671000000.0
Minority Interest,1901000000.0,2193000000.0,2193000000.0,2214000000.0
Deferred Long Term Liab,7120000000.0,6088000000.0,5380000000.0,4929000000.0
Other Current Liab,4655000000.0,2662000000.0,3085000000.0,2691000000.0
Total Assets,69372000000.0,64382000000.0,56715000000.0,52580000000.0
Common Stock,5962000000.0,4990000000.0,2545000000.0,2526000000.0
Other Current Assets,1861000000.0,1520000000.0,1382000000.0,1010000000.0
Retained Earnings,8155000000.0,8382000000.0,7964000000.0,9188000000.0
Other Liab,22641000000.0,24886000000.0,24036000000.0,19985000000.0
Treasury Stock,-69000000.0,-69000000.0,-50000000.0,-43000000.0
Other Assets,15462000000.0,15909000000.0,12075000000.0,9854000000.0
Cash,87000000.0,68000000.0,144000000.0,1091000000.0
Total Current Liabilities,10277000000.0,5523000000.0,5395000000.0,7068000000.0
Short Long Term Debt,1029000000.0,479000000.0,79000000.0,481000000.0
Other Stockholder Equity,-69000000.0,-69000000.0,-50000000.0,-43000000.0
Property Plant Equipment,48796000000.0,44849000000.0,41218000000.0,38924000000.0
Total Current Assets,5061000000.0,3560000000.0,3359000000.0,3729000000.0
Long Term Investments,53000000.0,64000000.0,63000000.0,73000000.0
Net Tangible Assets,14048000000.0,13303000000.0,10459000000.0,11671000000.0
Net Receivables,2427000000.0,1394000000.0,1403000000.0,1153000000.0
Long Term Debt,19632000000.0,17864000000.0,14632000000.0,11642000000.0
Inventory,405000000.0,364000000.0,282000000.0,242000000.0
Accounts Payable,1980000000.0,1752000000.0,1511000000.0,1503000000.0
