,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,3200000.0,1900000.0,15900000.0,66900000.0
Change To Liabilities,-362700000.0,363500000.0,297200000.0,768000000.0
Total Cashflows From Investing Activities,-136100000.0,-30900000.0,-221800000.0,-115400000.0
Net Borrowings,581000000.0,214400000.0,214400000.0,-18100000.0
Total Cash From Financing Activities,-408400000.0,-1222000000.0,-1441100000.0,-1342600000.0
Change To Operating Activities,-40600000.0,18000000.0,-35700000.0,-83300000.0
Issuance Of Stock,4100000.0,6500000.0,13000000.0,10700000.0
Net Income,945400000.0,1339100000.0,1326400000.0,1088400000.0
Change In Cash,1294800000.0,653300000.0,-143600000.0,793800000.0
Repurchase Of Stock,-222000000.0,-610200000.0,-581300000.0,-568400000.0
Effect Of Exchange Rate,114700000.0,50200000.0,-203000000.0,227900000.0
Total Cash From Operating Activities,1724600000.0,1856000000.0,1722300000.0,2023900000.0
Depreciation,222600000.0,231500000.0,264000000.0,282100000.0
Dividends Paid,-562700000.0,-564300000.0,-548500000.0,-515200000.0
Change To Account Receivables,434200000.0,-256400000.0,-181000000.0,-336200000.0
Other Cashflows From Financing Activities,-208800000.0,-268400000.0,-324300000.0,-251600000.0
Change To Netincome,525700000.0,160300000.0,51400000.0,304900000.0
Capital Expenditures,-75400000.0,-102200000.0,-195700000.0,-156000000.0
