,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,425100000.0,-1890800000.0,2964800000.0,677000000.0
Total Cashflows From Investing Activities,78900000.0,-10800000.0,-27000000.0,-79200000.0
Net Borrowings,-454800000.0,2200000.0,-19300000.0,16800000.0
Total Cash From Financing Activities,-785500000.0,-175700000.0,-220900000.0,-181800000.0
Change To Operating Activities,144200000.0,7100000.0,-14800000.0,-35600000.0
Issuance Of Stock,3900000.0,3400000.0,1000000.0,800000.0
Net Income,348200000.0,287800000.0,398100000.0,313300000.0
Change In Cash,-509200000.0,-703200000.0,2322200000.0,-2700000.0
Repurchase Of Stock,-101300000.0,-700000.0,-2900000.0,-13900000.0
Effect Of Exchange Rate,32200000.0,-55800000.0,184100000.0,57500000.0
Total Cash From Operating Activities,165200000.0,-460900000.0,2386000000.0,200800000.0
Depreciation,53500000.0,53300000.0,53800000.0,54700000.0
Dividends Paid,-152300000.0,-140100000.0,-140000000.0,-139800000.0
Change To Account Receivables,-817000000.0,1040200000.0,-1122400000.0,-852300000.0
Other Cashflows From Financing Activities,-81000000.0,-40500000.0,-59700000.0,-45700000.0
Change To Netincome,11200000.0,41500000.0,106500000.0,43700000.0
Capital Expenditures,-10500000.0,-12400000.0,-25400000.0,-16400000.0
Investments,,,3200000.0,3200000.0
