,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,11687000000.0,11948000000.0,14300000000.0,12136000000.0
Change To Liabilities,0.0,7213000000.0,23559000000.0,-8781000000.0
Investments,,24814000000.0,-17687000000.0,-59638000000.0
Total Cashflows From Investing Activities,,17698000000.0,15391000000.0,-63706000000.0
Net Borrowings,,-48220000000.0,105971000000.0,-20346000000.0
Total Cash From Financing Activities,,-37943000000.0,218911000000.0,125958000000.0
Change To Operating Activities,,-14823000000.0,-11827000000.0,-18429000000.0
Change In Cash,,-5651000000.0,183463000000.0,40087000000.0
Repurchase Of Stock,,-6194000000.0,-4806000000.0,-4806000000.0
Effect Of Exchange Rate,,1064000000.0,-6967000000.0,5887000000.0
Total Cash From Operating Activities,,13530000000.0,-43872000000.0,-28052000000.0
Depreciation,,2003000000.0,2070000000.0,2127000000.0
Other Cashflows From Investing Activities,,8639000000.0,23138000000.0,19539000000.0
Dividends Paid,,-3121000000.0,-3193000000.0,-3139000000.0
Other Cashflows From Financing Activities,,18317000000.0,119439000000.0,149443000000.0
Change To Netincome,,-14463000000.0,-13389000000.0,2134000000.0
