,2021-07-02,2021-04-02,2021-01-01,2020-10-02
Investments,38994000.0,38994000.0,-3430000.0,80000.0
Change To Liabilities,2014000.0,0.0,-63985000.0,22242000.0
Total Cashflows From Investing Activities,18418000.0,18418000.0,-193208000.0,-36414000.0
Net Borrowings,-358503000.0,-358503000.0,94998000.0,-491244000.0
Total Cash From Financing Activities,-385581000.0,-385581000.0,18685000.0,-580811000.0
Change To Operating Activities,-216274000.0,-216274000.0,-73377000.0,-4132000.0
Issuance Of Stock,11130000.0,11130000.0,9541000.0,8442000.0
Net Income,165794000.0,11045000.0,257048000.0,81990000.0
Change In Cash,-188123000.0,-188123000.0,-25412000.0,-162386000.0
Repurchase Of Stock,-154000.0,-154000.0,-50136000.0,-51568000.0
Effect Of Exchange Rate,5699000.0,5699000.0,36493000.0,22466000.0
Total Cash From Operating Activities,173341000.0,173341000.0,112618000.0,432373000.0
Depreciation,74968000.0,74968000.0,45159000.0,46582000.0
Dividends Paid,-38004000.0,-38004000.0,-35718000.0,-46441000.0
Change To Account Receivables,158450000.0,158450000.0,33250000.0,27831000.0
Other Cashflows From Financing Activities,-50000.0,-50000.0,-50000.0,-50000.0
Change To Netincome,-12603000.0,-12603000.0,-86462000.0,221683000.0
Capital Expenditures,-20617000.0,-20617000.0,-16766000.0,-29448000.0
