,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-833265000.0,288741000.0,368990000.0,168059000.0
Total Cashflows From Investing Activities,-975362000.0,-1680192000.0,-1502708000.0,-1404898000.0
Net Borrowings,5182609000.0,315565000.0,188621000.0,-100495000.0
Total Cash From Financing Activities,6579211000.0,-53388000.0,-584802000.0,-148506000.0
Change To Operating Activities,-283466000.0,-103323000.0,85434000.0,33077000.0
Issuance Of Stock,1547265000.0,31937000.0,28819000.0,30032000.0
Net Income,-4012514000.0,930228000.0,954843000.0,759872000.0
Change In Cash,3047606000.0,89025000.0,-12339000.0,47843000.0
Repurchase Of Stock,-15407000.0,-370799000.0,-678666000.0,-6342000.0
Total Cash From Operating Activities,-2556243000.0,1822605000.0,2075171000.0,1601247000.0
Depreciation,714079000.0,647102000.0,566972000.0,521484000.0
Other Cashflows From Investing Activities,-28817000.0,-43022000.0,64088000.0,-32684000.0
Change To Inventory,10555000.0,-6155000.0,-9052000.0,-17129000.0
Change To Account Receivables,30797000.0,-14104000.0,-15886000.0,15050000.0
Other Cashflows From Financing Activities,-135256000.0,-30091000.0,-123576000.0,-71701000.0
Change To Netincome,1817571000.0,80116000.0,123870000.0,120834000.0
Capital Expenditures,-946545000.0,-1637170000.0,-1566796000.0,-1372214000.0
