,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,1626000000.0,1823000000.0,1445000000.0,1520000000.0
Total Liab,97822000000.0,97082000000.0,97072000000.0,86323000000.0
Total Stockholder Equity,237565000000.0,230013000000.0,222544000000.0,212920000000.0
Other Current Liab,28436000000.0,30087000000.0,27252000000.0,24068000000.0
Total Assets,335387000000.0,327095000000.0,319616000000.0,299243000000.0
Common Stock,60436000000.0,59436000000.0,58510000000.0,57307000000.0
Other Current Assets,6076000000.0,7646000000.0,5490000000.0,5425000000.0
Retained Earnings,176939000000.0,170580000000.0,163401000000.0,155567000000.0
Other Liab,16134000000.0,16360000000.0,15160000000.0,13237000000.0
Good Will,22406000000.0,22341000000.0,21175000000.0,20870000000.0
Treasury Stock,190000000.0,-3000000.0,633000000.0,46000000.0
Other Assets,4860000000.0,4833000000.0,4608000000.0,3799000000.0
Cash,23630000000.0,26622000000.0,26465000000.0,20129000000.0
Total Current Liabilities,55741000000.0,55453000000.0,56834000000.0,48200000000.0
Deferred Long Term Asset Charges,1153000000.0,1129000000.0,1084000000.0,972000000.0
Other Stockholder Equity,190000000.0,-3000000.0,633000000.0,46000000.0
Property Plant Equipment,104675000000.0,100204000000.0,96960000000.0,93582000000.0
Total Current Assets,175697000000.0,172137000000.0,174296000000.0,164369000000.0
Long Term Investments,26123000000.0,25757000000.0,21132000000.0,15103000000.0
Net Tangible Assets,213533000000.0,205849000000.0,199924000000.0,190530000000.0
Short Term Investments,112233000000.0,108482000000.0,110229000000.0,112467000000.0
Net Receivables,32851000000.0,28499000000.0,31384000000.0,25513000000.0
Long Term Debt,12837000000.0,12835000000.0,12832000000.0,12828000000.0
Inventory,907000000.0,888000000.0,728000000.0,835000000.0
Accounts Payable,4708000000.0,4801000000.0,5589000000.0,4391000000.0
Short Long Term Debt,,1000000000.0,999000000.0,999000000.0
