,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,10806000000.0,10842000000.0,14000000000.0,10373000000.0
Total Liab,136971000000.0,134589000000.0,126750000000.0,121018000000.0
Total Stockholder Equity,69014000000.0,66404000000.0,65491000000.0,65231000000.0
Minority Interest,4307000000.0,4178000000.0,5048000000.0,4720000000.0
Other Current Liab,24545000000.0,23973000000.0,22369000000.0,20358000000.0
Total Assets,210292000000.0,205171000000.0,197289000000.0,190969000000.0
Common Stock,10000000.0,10000000.0,10000000.0,10000000.0
Retained Earnings,73090000000.0,71220000000.0,69295000000.0,69715000000.0
Other Liab,16066000000.0,16528000000.0,12100000000.0,14526000000.0
Good Will,75827000000.0,72162000000.0,71337000000.0,68088000000.0
Treasury Stock,-4086000000.0,-4826000000.0,-3814000000.0,-4494000000.0
Other Assets,16145000000.0,15851000000.0,17186000000.0,14140000000.0
Cash,19832000000.0,19955000000.0,16921000000.0,17550000000.0
Total Current Liabilities,76557000000.0,80641000000.0,72420000000.0,66597000000.0
Other Stockholder Equity,-4086000000.0,-4826000000.0,-3814000000.0,-4494000000.0
Property Plant Equipment,8735000000.0,8496000000.0,5482000000.0,8151000000.0
Total Current Assets,54718000000.0,55414000000.0,49642000000.0,51033000000.0
Long Term Investments,44061000000.0,42406000000.0,39642000000.0,39184000000.0
Net Tangible Assets,-17619000000.0,-16600000000.0,-19846000000.0,-13230000000.0
Short Term Investments,2729000000.0,2962000000.0,2860000000.0,3259000000.0
Net Receivables,27217000000.0,27526000000.0,25404000000.0,25402000000.0
Long Term Debt,44348000000.0,37420000000.0,38648000000.0,39895000000.0
Accounts Payable,48144000000.0,47830000000.0,44367000000.0,42340000000.0
Other Current Assets,,20611000000.0,,
Short Long Term Debt,,3483000000.0,3523000000.0,3899000000.0
