,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,232000000.0,-192000000.0,669000000.0,-798000000.0
Change To Liabilities,252000000.0,-117000000.0,408000000.0,24000000.0
Total Cashflows From Investing Activities,-580000000.0,-6444000000.0,222000000.0,-3086000000.0
Net Borrowings,-1875000000.0,3249000000.0,933000000.0,1603000000.0
Total Cash From Financing Activities,-5300000000.0,-1124000000.0,-6701000000.0,-2655000000.0
Issuance Of Stock,429000000.0,547000000.0,485000000.0,734000000.0
Net Income,5384000000.0,4570000000.0,5349000000.0,4858000000.0
Change In Cash,2281000000.0,-500000000.0,-200000000.0,655000000.0
Repurchase Of Stock,-368000000.0,-1407000000.0,-4870000000.0,-2068000000.0
Effect Of Exchange Rate,48000000.0,-2000000.0,-160000000.0,156000000.0
Total Cash From Operating Activities,8113000000.0,7070000000.0,6439000000.0,6240000000.0
Depreciation,1911000000.0,1593000000.0,1488000000.0,1337000000.0
Other Cashflows From Investing Activities,10000000.0,72000000.0,9000000.0,-6000000.0
Dividends Paid,-3388000000.0,-3316000000.0,-3193000000.0,-2803000000.0
Change To Inventory,-91000000.0,370000000.0,-509000000.0,-387000000.0
Change To Account Receivables,165000000.0,345000000.0,-305000000.0,-245000000.0
Other Cashflows From Financing Activities,-98000000.0,-197000000.0,-56000000.0,-121000000.0
Change To Netincome,360000000.0,104000000.0,-126000000.0,-314000000.0
Capital Expenditures,-1501000000.0,-1699000000.0,-1577000000.0,-1373000000.0
