,2021-04-03,2020-03-28,2019-03-30,2018-03-31
Investments,-1210392000.0,1291935000.0,-312543000.0,1024098000.0
Change To Liabilities,16208000.0,-10637000.0,11137000.0,-46092000.0
Total Cashflows From Investing Activities,-1287422000.0,680204000.0,-690543000.0,948243000.0
Net Borrowings,244427000.0,244427000.0,-500000000.0,287257000.0
Total Cash From Financing Activities,-144974000.0,-1637827000.0,-1035510000.0,-555637000.0
Change To Operating Activities,19396000.0,-25712000.0,14405000.0,16753000.0
Issuance Of Stock,55588000.0,53277000.0,48669000.0,47454000.0
Net Income,646508000.0,792721000.0,889750000.0,463981000.0
Change In Cash,-339175000.0,233213000.0,-634838000.0,1212633000.0
Repurchase Of Stock,-117741000.0,-1289653000.0,-209886000.0,-534645000.0
Total Cash From Operating Activities,1093221000.0,1190836000.0,1091215000.0,820027000.0
Depreciation,186514000.0,157533000.0,104360000.0,96754000.0
Other Cashflows From Investing Activities,-20262000.0,-27791000.0,-54810000.0,-24573000.0
Dividends Paid,-278674000.0,-371793000.0,-364244000.0,-353053000.0
Change To Inventory,-6746000.0,17947000.0,-78602000.0,-9176000.0
Change To Account Receivables,-12186000.0,66889000.0,47081000.0,-98396000.0
Other Cashflows From Financing Activities,-48574000.0,-29658000.0,-10049000.0,-2650000.0
Change To Netincome,214475000.0,172717000.0,118850000.0,-201919000.0
Capital Expenditures,-49665000.0,-129289000.0,-89045000.0,-49918000.0
