,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Capital Surplus,6549923000.0,6564436000.0,5951431000.0,5433433000.0
Total Liab,47058660000.0,41245827000.0,39211359000.0,38516831000.0
Total Stockholder Equity,10926142000.0,10223675000.0,8844305000.0,7992515000.0
Minority Interest,254410000.0,254410000.0,219402000.0,197803000.0
Deferred Long Term Liab,6316971000.0,5531947000.0,4985992000.0,5174987000.0
Other Current Liab,1195034000.0,1054459000.0,1097819000.0,984590000.0
Total Assets,58239212000.0,51723912000.0,48275066000.0,46707149000.0
Common Stock,2700000.0,2700000.0,2616000.0,2548000.0
Other Current Assets,231530000.0,268568000.0,275211000.0,249910000.0
Retained Earnings,9897182000.0,9257609000.0,8721150000.0,7977702000.0
Other Liab,18568610000.0,18311986000.0,18230402000.0,19143350000.0
Good Will,377172000.0,377172000.0,377172000.0,377172000.0
Treasury Stock,-5523663000.0,-5601070000.0,-5830892000.0,-5421168000.0
Other Assets,13891814000.0,12288739000.0,12223737000.0,12677246000.0
Cash,1759099000.0,425722000.0,480975000.0,781273000.0
Total Current Liabilities,7060506000.0,5620463000.0,5443544000.0,5036207000.0
Deferred Long Term Asset Charges,76289000.0,64461000.0,54593000.0,178204000.0
Short Long Term Debt,1146827000.0,795012000.0,650009000.0,760007000.0
Other Stockholder Equity,-449207000.0,-446920000.0,-557173000.0,-23531000.0
Property Plant Equipment,39196105000.0,35515557000.0,32278828000.0,29925340000.0
Total Current Assets,4559899000.0,3045992000.0,2958064000.0,3285331000.0
Long Term Investments,214222000.0,496452000.0,437265000.0,442060000.0
Net Tangible Assets,10548970000.0,9846503000.0,8467133000.0,7615343000.0
Net Receivables,1285727000.0,1208592000.0,1114405000.0,1212950000.0
Long Term Debt,21188613000.0,17044297000.0,15518303000.0,14315259000.0
Inventory,1135119000.0,970465000.0,870147000.0,905865000.0
Accounts Payable,2739437000.0,1499861000.0,1496058000.0,1452216000.0
