,2020-10-31,2019-10-31,2018-10-31,2017-10-31
Investments,-276000000.0,691000000.0,480000000.0,-1169000000.0
Change To Liabilities,-35000000.0,-53000000.0,1429000000.0,2161000000.0
Total Cashflows From Investing Activities,-1016000000.0,-438000000.0,-716000000.0,-1717000000.0
Net Borrowings,1259000000.0,-1409000000.0,-2239000000.0,1007000000.0
Total Cash From Financing Activities,-2973000000.0,-4845000000.0,-5643000000.0,-1251000000.0
Change To Operating Activities,-673000000.0,1532000000.0,416000000.0,-596000000.0
Net Income,2844000000.0,3152000000.0,5327000000.0,2526000000.0
Change In Cash,327000000.0,-629000000.0,-1831000000.0,709000000.0
Repurchase Of Stock,-3107000000.0,-2405000000.0,-2557000000.0,-1412000000.0
Total Cash From Operating Activities,4316000000.0,4654000000.0,4528000000.0,3677000000.0
Depreciation,789000000.0,744000000.0,528000000.0,354000000.0
Other Cashflows From Investing Activities,-163000000.0,-163000000.0,214000000.0,-215000000.0
Dividends Paid,-997000000.0,-970000000.0,-899000000.0,-894000000.0
Change To Inventory,-386000000.0,-68000000.0,-136000000.0,-1346000000.0
Change To Account Receivables,575000000.0,-761000000.0,-491000000.0,-453000000.0
Other Cashflows From Financing Activities,-128000000.0,-61000000.0,-61000000.0,-9000000.0
Change To Netincome,1349000000.0,959000000.0,-2934000000.0,958000000.0
Capital Expenditures,-580000000.0,-671000000.0,-546000000.0,-402000000.0
Issuance Of Stock,,,52000000.0,57000000.0
