,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-49673000.0,217383000.0,1055057000.0,-367673000.0
Change To Liabilities,-160978000.0,59842000.0,71819000.0,153962000.0
Total Cashflows From Investing Activities,-72258000.0,167195000.0,1070130000.0,-405424000.0
Total Cash From Financing Activities,-764877000.0,-770303000.0,-1875325000.0,-65073000.0
Change To Operating Activities,-9214000.0,-3279000.0,1041000.0,13775000.0
Issuance Of Stock,12577000.0,13152000.0,12836000.0,12915000.0
Net Income,814888000.0,612299000.0,582489000.0,457248000.0
Change In Cash,-107000000.0,150848000.0,-108386000.0,233558000.0
Repurchase Of Stock,-777454000.0,-782583000.0,-638152000.0,-621173000.0
Effect Of Exchange Rate,-48000.0,64000.0,-958000.0,1294000.0
Total Cash From Operating Activities,730183000.0,753892000.0,697767000.0,702761000.0
Depreciation,46352000.0,46330000.0,48367000.0,49878000.0
Change To Netincome,39135000.0,38700000.0,-5949000.0,27898000.0
Capital Expenditures,-43395000.0,-40316000.0,-37007000.0,-49499000.0
Other Cashflows From Financing Activities,,-872000.0,-872000.0,-872000.0
Net Borrowings,,,-1250009000.0,543185000.0
Other Cashflows From Investing Activities,,,-160000.0,-160000.0
