,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,445100000.0,594100000.0,712200000.0,897000000.0
Capital Surplus,3204900000.0,3095300000.0,2996900000.0,2911600000.0
Total Liab,8047600000.0,7039100000.0,6192500000.0,5981100000.0
Total Stockholder Equity,1297100000.0,960300000.0,975200000.0,985600000.0
Other Current Liab,642900000.0,713500000.0,410300000.0,402200000.0
Total Assets,9344700000.0,7999400000.0,7167700000.0,6966700000.0
Common Stock,1400000.0,1400000.0,1500000.0,1500000.0
Retained Earnings,-1813400000.0,-2018600000.0,-1892600000.0,-1831600000.0
Other Liab,124000000.0,133400000.0,206100000.0,249000000.0
Good Will,2595900000.0,2553000000.0,2462800000.0,2479600000.0
Treasury Stock,-95800000.0,-117800000.0,-130600000.0,-95900000.0
Other Assets,43900000.0,23300000.0,27700000.0,27300000.0
Cash,1410200000.0,154000000.0,205800000.0,144200000.0
Total Current Liabilities,3898300000.0,3491400000.0,2803100000.0,2522100000.0
Short Long Term Debt,70900000.0,34100000.0,25300000.0,25500000.0
Other Stockholder Equity,-95800000.0,-117800000.0,-130600000.0,-95900000.0
Property Plant Equipment,306300000.0,494900000.0,156100000.0,161100000.0
Total Current Assets,5953500000.0,4334100000.0,3796800000.0,3396300000.0
Net Tangible Assets,-1743900000.0,-2186800000.0,-2199800000.0,-2391000000.0
Net Receivables,3592100000.0,3397300000.0,2987600000.0,2672300000.0
Long Term Debt,3856300000.0,3283200000.0,3183300000.0,3210000000.0
Inventory,760000000.0,611200000.0,454300000.0,411500000.0
Accounts Payable,2088400000.0,1835000000.0,1577100000.0,1317700000.0
Long Term Investments,,,12100000.0,5400000.0
