,2021-06-26,2021-03-27,2020-12-26,2020-09-26
Capital Surplus,238422000.0,232597000.0,228875000.0,226878000.0
Total Liab,873040000.0,811546000.0,961964000.0,686571000.0
Total Stockholder Equity,830173000.0,762919000.0,691835000.0,705634000.0
Other Current Liab,94922000.0,100714000.0,164956000.0,74911000.0
Total Assets,1703213000.0,1574465000.0,1653799000.0,1392205000.0
Common Stock,682000.0,682000.0,682000.0,682000.0
Other Current Assets,41533000.0,11584000.0,18520000.0,27989000.0
Retained Earnings,2199637000.0,2115411000.0,2046238000.0,2065999000.0
Other Liab,100036000.0,88973000.0,88612000.0,88700000.0
Good Will,40973000.0,40732000.0,40949000.0,40251000.0
Treasury Stock,-1608568000.0,-1585771000.0,-1583960000.0,-1587925000.0
Other Assets,91073000.0,89666000.0,88802000.0,82699000.0
Cash,186404000.0,219389000.0,249354000.0,218554000.0
Total Current Liabilities,720215000.0,662665000.0,806137000.0,543550000.0
Other Stockholder Equity,-1852000.0,-2953000.0,-1999000.0,-5964000.0
Property Plant Equipment,283348000.0,290481000.0,299591000.0,281886000.0
Total Current Assets,1233266000.0,1137319000.0,1208175000.0,964069000.0
Long Term Investments,54553000.0,16267000.0,16282000.0,23300000.0
Net Tangible Assets,789200000.0,722187000.0,650886000.0,665383000.0
Short Term Investments,52560000.0,41407000.0,41375000.0,39068000.0
Net Receivables,952769000.0,864939000.0,898926000.0,678458000.0
Accounts Payable,481711000.0,414440000.0,380505000.0,339798000.0
