,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-4660000.0,143870000.0,-332485000.0,6153000.0
Change To Liabilities,-17418000.0,-47547000.0,-26728000.0,90681000.0
Total Cashflows From Investing Activities,-159620000.0,-36308000.0,-617934000.0,-224665000.0
Total Cash From Financing Activities,-98844000.0,-100777000.0,-71076000.0,-10560000.0
Change To Operating Activities,5333000.0,-47798000.0,19939000.0,-19833000.0
Issuance Of Stock,9712000.0,21410000.0,13963000.0,16007000.0
Net Income,156497000.0,155695000.0,113370000.0,158623000.0
Change In Cash,122672000.0,105557000.0,-390517000.0,171111000.0
Repurchase Of Stock,-108489000.0,-122187000.0,-85039000.0,-26567000.0
Effect Of Exchange Rate,3003000.0,-7151000.0,7400000.0,4363000.0
Total Cash From Operating Activities,378133000.0,249793000.0,291093000.0,401973000.0
Depreciation,96507000.0,91465000.0,88202000.0,80565000.0
Other Cashflows From Investing Activities,-391000.0,179000.0,10101000.0,-2059000.0
Change To Account Receivables,11176000.0,-15580000.0,-4942000.0,20107000.0
Other Cashflows From Financing Activities,-67000.0,-67000.0,-67000.0,-67000.0
Change To Netincome,68370000.0,57295000.0,45980000.0,17755000.0
Capital Expenditures,-107231000.0,-87222000.0,-118520000.0,-180841000.0
