,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,134601000.0,91071000.0,129917000.0,97612000.0
Total Cashflows From Investing Activities,-128486000.0,4566000.0,-44666000.0,-14514000.0
Total Cash From Financing Activities,-238321000.0,-53435000.0,-2448000.0,8016000.0
Change To Operating Activities,30851000.0,-35333000.0,77632000.0,81036000.0
Net Income,199714000.0,200376000.0,158988000.0,139371000.0
Change In Cash,-45327000.0,170831000.0,345352000.0,211178000.0
Repurchase Of Stock,-198321000.0,-66568000.0,-2448000.0,-1636000.0
Effect Of Exchange Rate,3976000.0,-7487000.0,11048000.0,6604000.0
Total Cash From Operating Activities,317504000.0,227187000.0,381418000.0,211072000.0
Depreciation,25892000.0,25635000.0,24769000.0,24486000.0
Other Cashflows From Investing Activities,-4249000.0,47997000.0,8493000.0,6741000.0
Change To Inventory,-33488000.0,-15582000.0,-17336000.0,9624000.0
Change To Account Receivables,-97399000.0,-67423000.0,-37889000.0,-166533000.0
Other Cashflows From Financing Activities,-40000000.0,-53435000.0,-53435000.0,-53435000.0
Change To Netincome,53718000.0,24523000.0,48258000.0,32064000.0
Capital Expenditures,-124237000.0,-43431000.0,-53159000.0,-21255000.0
Issuance Of Stock,,13133000.0,13133000.0,9652000.0
