,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,11000000.0,16000000.0,95000000.0,183000000.0
Change To Liabilities,-141000000.0,114000000.0,280000000.0,1260000000.0
Total Cashflows From Investing Activities,-437000000.0,-934000000.0,-1266000000.0,-448000000.0
Net Borrowings,-22000000.0,-235000000.0,767000000.0,-11000000.0
Total Cash From Financing Activities,-966000000.0,-1144000000.0,220000000.0,-722000000.0
Change To Operating Activities,-25000000.0,-5000000.0,-523000000.0,-44000000.0
Issuance Of Stock,108000000.0,114000000.0,168000000.0,82000000.0
Net Income,949000000.0,868000000.0,966000000.0,-155000000.0
Change In Cash,253000000.0,-256000000.0,-11000000.0,238000000.0
Repurchase Of Stock,-612000000.0,-315000000.0,-132000000.0,-483000000.0
Effect Of Exchange Rate,43000000.0,-1000000.0,-40000000.0,62000000.0
Total Cash From Operating Activities,1613000000.0,1823000000.0,1075000000.0,1346000000.0
Depreciation,409000000.0,394000000.0,360000000.0,343000000.0
Dividends Paid,-436000000.0,-379000000.0,-337000000.0,-307000000.0
Change To Inventory,-14000000.0,-74000000.0,71000000.0,-46000000.0
Change To Account Receivables,257000000.0,-30000000.0,-189000000.0,-159000000.0
Other Cashflows From Financing Activities,-4000000.0,-329000000.0,-246000000.0,-3000000.0
Change To Netincome,178000000.0,556000000.0,110000000.0,147000000.0
Capital Expenditures,-217000000.0,-248000000.0,-197000000.0,-227000000.0
