,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-836000.0,114000.0,-1757000.0,-1602000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-20039000.0,-112499000.0,-191579000.0,-95317000.0
Net Borrowings,-105327000.0,93846000.0,136114000.0,-44146000.0
Total Cash From Financing Activities,-229539000.0,-27852000.0,19541000.0,-166958000.0
Change To Operating Activities,36095000.0,-54394000.0,-21927000.0,61442000.0
Net Income,216478000.0,47193000.0,83342000.0,59910000.0
Change In Cash,-371000.0,7760000.0,8026000.0,-8005000.0
Total Cash From Operating Activities,249207000.0,148111000.0,180064000.0,254270000.0
Depreciation,132092000.0,131820000.0,129740000.0,127833000.0
Dividends Paid,-118271000.0,-118164000.0,-115294000.0,-115287000.0
Other Cashflows From Financing Activities,-5941000.0,-3534000.0,-1279000.0,-7525000.0
Change To Netincome,-136788000.0,22148000.0,-12456000.0,3780000.0
