,2021-03-27,2020-12-26,2020-09-26,2020-06-27
Investments,-204027000.0,-5945000.0,-2483000.0,222000.0
Change To Liabilities,-179725000.0,79320000.0,283853000.0,-1220000.0
Total Cashflows From Investing Activities,-223244000.0,-21063000.0,-12315000.0,-16036000.0
Net Borrowings,-18022000.0,-439816000.0,3560000.0,-228618000.0
Total Cash From Financing Activities,-119444000.0,-450970000.0,2308000.0,-230413000.0
Change To Operating Activities,-45310000.0,45267000.0,124870000.0,-166614000.0
Net Income,165997000.0,142633000.0,141697000.0,-10797000.0
Change In Cash,-276647000.0,-112310000.0,237385000.0,-321258000.0
Repurchase Of Stock,-94817000.0,-292000.0,-294000.0,-558000.0
Effect Of Exchange Rate,2710000.0,9875000.0,-1940000.0,15936000.0
Total Cash From Operating Activities,63331000.0,349848000.0,249332000.0,-90745000.0
Depreciation,49363000.0,44874000.0,44569000.0,47112000.0
Other Cashflows From Investing Activities,-5374000.0,-4088000.0,-2621000.0,-8678000.0
Change To Inventory,-78085000.0,-5987000.0,-39530000.0,-59338000.0
Change To Account Receivables,118795000.0,10509000.0,-299530000.0,100955000.0
Other Cashflows From Financing Activities,-6605000.0,-10862000.0,-958000.0,-1237000.0
Change To Netincome,32296000.0,33232000.0,-6597000.0,-843000.0
Capital Expenditures,-13843000.0,-11030000.0,-7211000.0,-7580000.0
