,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,4747000000.0,4822000000.0,5220000000.0,5146000000.0
Capital Surplus,107846000000.0,107840000000.0,107922000000.0,108008000000.0
Total Liab,2059890000000.0,1757212000000.0,1720309000000.0,1640793000000.0
Total Stockholder Equity,179962000000.0,175262000000.0,177760000000.0,181487000000.0
Minority Interest,758000000.0,704000000.0,854000000.0,932000000.0
Other Current Liab,100070000000.0,72466000000.0,92369000000.0,77585000000.0
Total Assets,2260090000000.0,1951158000000.0,1917383000000.0,1842465000000.0
Common Stock,31000000.0,31000000.0,31000000.0,31000000.0
Other Current Assets,27377000000.0,38751000000.0,39508000000.0,38215000000.0
Retained Earnings,168272000000.0,165369000000.0,151347000000.0,138425000000.0
Other Liab,56895000000.0,54679000000.0,56150000000.0,57021000000.0
Good Will,22162000000.0,22126000000.0,22046000000.0,22256000000.0
Treasury Stock,-96187000000.0,-97978000000.0,-81540000000.0,-64977000000.0
Other Assets,758767000000.0,791248000000.0,781055000000.0,758461000000.0
Cash,282238000000.0,155168000000.0,148597000000.0,142301000000.0
Total Current Liabilities,1779833000000.0,1450473000000.0,1432160000000.0,1347063000000.0
Deferred Long Term Asset Charges,30988000000.0,28973000000.0,27685000000.0,26797000000.0
Short Long Term Debt,50821000000.0,,,53400000000.0
Other Stockholder Equity,-32058000000.0,-36318000000.0,-37170000000.0,-34668000000.0
Property Plant Equipment,2800000000.0,3100000000.0,,
Total Current Assets,1024255000000.0,761299000000.0,750455000000.0,704312000000.0
Long Term Investments,447359000000.0,368563000000.0,358607000000.0,352290000000.0
Net Tangible Assets,153389000000.0,148809000000.0,151078000000.0,154643000000.0
Short Term Investments,294712000000.0,251322000000.0,270684000000.0,232478000000.0
Net Receivables,44806000000.0,39857000000.0,35450000000.0,38384000000.0
Long Term Debt,220865000000.0,248760000000.0,231999000000.0,236709000000.0
Inventory,43000000.0,61000000.0,99000000.0,144000000.0
Accounts Payable,1280671000000.0,1070590000000.0,1013170000000.0,959822000000.0
