,2021-07-31,2021-04-30,2021-01-31,2020-10-31
Intangible Assets,192904000.0,191314000.0,206153000.0,199210000.0
Capital Surplus,4689282000.0,4187267000.0,4063885000.0,3943678000.0
Total Liab,4911659000.0,4051634000.0,4274481000.0,3985383000.0
Total Stockholder Equity,1134665000.0,1246231000.0,1594005000.0,1609312000.0
Deferred Long Term Liab,104284000.0,78504000.0,69637000.0,67854000.0
Other Current Liab,991370000.0,923914000.0,1030484000.0,763646000.0
Total Assets,6046324000.0,5297865000.0,5868486000.0,5594695000.0
Common Stock,165000.0,164000.0,163000.0,162000.0
Other Current Assets,100774000.0,114715000.0,136331000.0,120762000.0
Retained Earnings,-3324403000.0,-2940452000.0,-2469451000.0,-2329903000.0
Other Liab,94945000.0,98269000.0,116128000.0,113630000.0
Good Will,1401628000.0,1334888000.0,1334888000.0,1301073000.0
Treasury Stock,-230379000.0,-748000.0,-592000.0,-4625000.0
Other Assets,390325000.0,355149000.0,502261000.0,460351000.0
Cash,2231165000.0,1845198000.0,1771064000.0,1652263000.0
Total Current Liabilities,1543009000.0,1398153000.0,1524748000.0,1257046000.0
Other Stockholder Equity,-864000.0,-748000.0,-592000.0,-4625000.0
Property Plant Equipment,371907000.0,384714000.0,539076000.0,560586000.0
Total Current Assets,3652671000.0,3018197000.0,3272380000.0,3055247000.0
Long Term Investments,36889000.0,13603000.0,13728000.0,18228000.0
Net Tangible Assets,-459867000.0,-279971000.0,52964000.0,109029000.0
Short Term Investments,267035000.0,20196000.0,87847000.0,341409000.0
Net Receivables,882436000.0,775942000.0,1114199000.0,799960000.0
Long Term Debt,3054463000.0,2329193000.0,2302635000.0,2275313000.0
Accounts Payable,45789000.0,48849000.0,9319000.0,16479000.0
Deferred Long Term Asset Charges,,,5368000.0,
