,2021-07-30,2021-04-30,2021-01-29,2020-10-30
Investments,-330000000.0,2232000000.0,-1672000000.0,-1381000000.0
Change To Liabilities,-416000000.0,2000000.0,421000000.0,649000000.0
Total Cashflows From Investing Activities,-784000000.0,1919000000.0,-2773000000.0,-2020000000.0
Net Borrowings,-1000000.0,-3769000000.0,-369000000.0,806000000.0
Total Cash From Financing Activities,-1055000000.0,-5129000000.0,-998000000.0,32000000.0
Change To Operating Activities,-321000000.0,-119000000.0,-303000000.0,15000000.0
Issuance Of Stock,111000000.0,160000000.0,195000000.0,93000000.0
Net Income,763000000.0,1360000000.0,1270000000.0,489000000.0
Change In Cash,-589000000.0,-1484000000.0,-1343000000.0,-79000000.0
Repurchase Of Stock,-315000000.0,-575000000.0,-9000000.0,-68000000.0
Effect Of Exchange Rate,-42000000.0,-19000000.0,72000000.0,48000000.0
Total Cash From Operating Activities,1292000000.0,1745000000.0,2356000000.0,1861000000.0
Depreciation,671000000.0,684000000.0,678000000.0,671000000.0
Other Cashflows From Investing Activities,-76000000.0,82000000.0,-132000000.0,12000000.0
Dividends Paid,-846000000.0,-781000000.0,-781000000.0,-780000000.0
Change To Inventory,-75000000.0,153000000.0,70000000.0,90000000.0
Change To Account Receivables,-40000000.0,-311000000.0,219000000.0,-527000000.0
Other Cashflows From Financing Activities,-4000000.0,-164000000.0,-34000000.0,-19000000.0
Change To Netincome,710000000.0,-24000000.0,1000000.0,474000000.0
Capital Expenditures,-378000000.0,-377000000.0,-363000000.0,-281000000.0
