,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,13796000000.0,15235000000.0,3087000000.0,3742000000.0
Total Liab,135245000000.0,131201000000.0,106452000000.0,107631000000.0
Total Stockholder Equity,20597000000.0,20841000000.0,16796000000.0,17594000000.0
Minority Interest,129000000.0,144000000.0,134000000.0,131000000.0
Deferred Long Term Liab,2449000000.0,2472000000.0,2676000000.0,2136000000.0
Other Current Liab,16925000000.0,15259000000.0,14659000000.0,16451000000.0
Total Assets,155971000000.0,152186000000.0,123382000000.0,125356000000.0
Common Stock,56556000000.0,55895000000.0,55151000000.0,54566000000.0
Other Current Assets,2655000000.0,2212000000.0,2911000000.0,2266000000.0
Retained Earnings,162717000000.0,162954000000.0,159206000000.0,153126000000.0
Other Liab,37447000000.0,35519000000.0,32620000000.0,30397000000.0
Good Will,59617000000.0,58222000000.0,36265000000.0,36788000000.0
Treasury Stock,-198676000000.0,-198008000000.0,-197561000000.0,-190098000000.0
Other Assets,21355000000.0,16369000000.0,14718000000.0,13844000000.0
Cash,13212000000.0,8172000000.0,11379000000.0,11972000000.0
Total Current Liabilities,39869000000.0,37701000000.0,38227000000.0,37363000000.0
Deferred Long Term Asset Charges,9241000000.0,5182000000.0,5216000000.0,4862000000.0
Short Long Term Debt,6956000000.0,7470000000.0,7048000000.0,5215000000.0
Other Stockholder Equity,-29337000000.0,-28595000000.0,-29490000000.0,-26591000000.0
Property Plant Equipment,14726000000.0,15006000000.0,10792000000.0,11116000000.0
Total Current Assets,39165000000.0,38420000000.0,49146000000.0,49735000000.0
Long Term Investments,226000000.0,222000000.0,226000000.0,581000000.0
Net Tangible Assets,-52816000000.0,-52616000000.0,-22556000000.0,-22936000000.0
Short Term Investments,600000000.0,696000000.0,618000000.0,608000000.0
Net Receivables,8343000000.0,10069000000.0,8645000000.0,10380000000.0
Long Term Debt,54156000000.0,53951000000.0,35567000000.0,39871000000.0
Inventory,1839000000.0,1619000000.0,1682000000.0,1583000000.0
Accounts Payable,4908000000.0,4896000000.0,6558000000.0,6451000000.0
