,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-95000000.0,-64000000.0,22000000.0,-66000000.0
Change To Liabilities,-417000000.0,-274000000.0,599000000.0,-88000000.0
Total Cashflows From Investing Activities,-88000000.0,-86000000.0,-86000000.0,-90000000.0
Total Cash From Financing Activities,-376000000.0,-95000000.0,58000000.0,934000000.0
Change To Operating Activities,-227000000.0,-75000000.0,262000000.0,-486000000.0
Issuance Of Stock,38000000.0,29000000.0,58000000.0,45000000.0
Net Income,876000000.0,619000000.0,509000000.0,604000000.0
Change In Cash,-64000000.0,635000000.0,1235000000.0,1077000000.0
Repurchase Of Stock,-49000000.0,-124000000.0,-124000000.0,-7000000.0
Effect Of Exchange Rate,12000000.0,-28000000.0,37000000.0,37000000.0
Total Cash From Operating Activities,388000000.0,844000000.0,1140000000.0,196000000.0
Depreciation,28000000.0,33000000.0,45000000.0,46000000.0
Other Cashflows From Investing Activities,21000000.0,21000000.0,21000000.0,21000000.0
Dividends Paid,-365000000.0,-365000000.0,-365000000.0,-365000000.0
Change To Account Receivables,93000000.0,276000000.0,-419000000.0,-5000000.0
Change To Netincome,-47000000.0,159000000.0,36000000.0,89000000.0
Capital Expenditures,-14000000.0,-22000000.0,-22000000.0,-24000000.0
Net Borrowings,,,,944000000.0
Other Cashflows From Financing Activities,,,,-48000000.0
