,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-50000000.0,-123000000.0,-483000000.0,-89000000.0
Change To Liabilities,0.0,0.0,73000000.0,0.0
Total Cashflows From Investing Activities,-1287000000.0,-1301000000.0,-1862000000.0,-439000000.0
Net Borrowings,496000000.0,-39000000.0,-1248000000.0,-542000000.0
Total Cash From Financing Activities,125000000.0,-407000000.0,-1663000000.0,-1552000000.0
Change To Operating Activities,-3000000.0,128000000.0,551000000.0,-79000000.0
Issuance Of Stock,5000000.0,5000000.0,1000000.0,1000000.0
Net Income,444000000.0,895000000.0,461000000.0,399000000.0
Change In Cash,-407000000.0,-207000000.0,-2561000000.0,-1384000000.0
Repurchase Of Stock,-1000000.0,-37000000.0,-1000000.0,-504000000.0
Effect Of Exchange Rate,2000000.0,-1000000.0,2000000.0,5000000.0
Total Cash From Operating Activities,753000000.0,1502000000.0,962000000.0,602000000.0
Depreciation,463000000.0,442000000.0,415000000.0,418000000.0
Other Cashflows From Investing Activities,6000000.0,3000000.0,-13000000.0,748000000.0
Dividends Paid,-365000000.0,-337000000.0,-352000000.0,-341000000.0
Other Cashflows From Financing Activities,-10000000.0,6000000.0,-64000000.0,-164000000.0
Change To Netincome,-151000000.0,37000000.0,-103000000.0,-136000000.0
Capital Expenditures,-1243000000.0,-1181000000.0,-1363000000.0,-1115000000.0
Change To Inventory,,,-35000000.0,-35000000.0
Change To Account Receivables,,,-315000000.0,-315000000.0
