,2021-04-30,2021-01-31,2020-10-31,2020-07-31
Intangible Assets,1412400000.0,1358600000.0,1289000000.0,1311400000.0
Capital Surplus,1667800000.0,1647200000.0,1646800000.0,1637000000.0
Total Liab,2851000000.0,2932000000.0,2912700000.0,2988000000.0
Total Stockholder Equity,6162600000.0,5989700000.0,3824600000.0,3760200000.0
Minority Interest,200000.0,200000.0,200000.0,200000.0
Other Current Liab,277200000.0,278100000.0,266200000.0,254500000.0
Total Assets,9013800000.0,8921900000.0,6737500000.0,6748400000.0
Common Stock,5400000.0,5300000.0,5300000.0,5300000.0
Other Current Assets,500000.0,600000.0,900000.0,900000.0
Retained Earnings,5477500000.0,5360000000.0,3261800000.0,3180600000.0
Other Liab,292000000.0,300000000.0,271100000.0,271800000.0
Good Will,2567700000.0,2553300000.0,2447300000.0,2445000000.0
Treasury Stock,-988100000.0,-1022800000.0,-1089300000.0,-1062700000.0
Other Assets,2136200000.0,2137200000.0,184900000.0,174100000.0
Cash,105900000.0,119100000.0,115900000.0,127400000.0
Total Current Liabilities,992700000.0,961300000.0,1004400000.0,1128700000.0
Deferred Long Term Asset Charges,2017400000.0,2031200000.0,80100000.0,80100000.0
Short Long Term Debt,350000000.0,350300000.0,350500000.0,500600000.0
Other Stockholder Equity,-347200000.0,-381300000.0,-472000000.0,-444700000.0
Property Plant Equipment,1574900000.0,1575400000.0,1542100000.0,1496600000.0
Total Current Assets,1322600000.0,1297400000.0,1274200000.0,1321300000.0
Net Tangible Assets,2182500000.0,2077800000.0,88300000.0,3800000.0
Net Receivables,490100000.0,461200000.0,435400000.0,450500000.0
Long Term Debt,1325400000.0,1424700000.0,1400400000.0,1350900000.0
Inventory,582000000.0,570500000.0,570400000.0,594900000.0
Accounts Payable,141600000.0,137400000.0,176000000.0,180200000.0
